,Composer,Title,Measure,Beat,Pattern,Key,CadType,Tone,CVFs,LeadingTones,Sounding,Low,RelLow,RelTone,Progress,SinceLast,ToNext,Validation,Comments
832.0,Morley,Morley_1597_190-193,105,1.0,BC1,^BC(1|3)x?z?$,Authentic,G,CTB,1.0,5.0,G2,P1,P8,1.0,20.0,8.0,,
248.0,Morley,Morley_1597_190-193,32,1.0,BC1,^BC(1|3)x?z?$,Authentic,G,CTB,1.0,4.0,G2,P1,P8,0.2980769230769231,16.0,8.0,,
264.0,Morley,Morley_1597_190-193,34,1.0,C1T-2z,^C(1|3)T-2x?z?$,Clausula Vera,G,TzC,1.0,3.0,G3,P8,P8,0.3173076923076923,8.0,40.0,,
304.0,Morley,Morley_1597_190-193,39,1.0,C2T-1,^C(2|3|4)T-1z?$,Phrygian Clausula Vera,D,CT,1.0,4.0,D3,P5,P5,0.36538461538461536,40.0,40.0,,
344.0,Morley,Morley_1597_190-193,44,1.0,C1T-2,^C(1|3)T-2x?z?$,Clausula Vera,G,CT,1.0,4.0,G3,P8,P8,0.41346153846153844,40.0,24.0,,
368.0,Morley,Morley_1597_190-193,47,1.0,C2T-1,^C(2|3|4)T-1z?$,Phrygian Clausula Vera,D,CT,1.0,4.0,D3,P5,P5,0.4423076923076923,24.0,40.0,,
408.0,Morley,Morley_1597_190-193,52,1.0,C1T-2,^C(1|3)T-2x?z?$,Clausula Vera,G,CT,1.0,3.0,G3,P8,P8,0.49038461538461536,40.0,24.0,,
432.0,Morley,Morley_1597_190-193,55,1.0,C2T-1,^C(2|3|4)T-1z?$,Phrygian Clausula Vera,D,CT,1.0,4.0,D3,P5,P5,0.5192307692307693,24.0,4.0,,
436.0,Morley,Morley_1597_190-193,55,3.0,BC1,^BC(1|3)x?z?$,Authentic,G,CBx,1.0,3.0,G3,P8,P8,0.5240384615384616,4.0,8.0,,
444.0,Morley,Morley_1597_190-193,56,3.0,C1T-2,^C(1|3)T-2x?z?$,Clausula Vera,G,CT,1.0,5.0,B-2,m3,P8,0.5336538461538461,8.0,4.0,,
448.0,Morley,Morley_1597_190-193,57,1.0,T-2a,^T-2az?$,Evaded Altizans Only,,aT,-1.0,4.0,G2,P1,,0.5384615384615384,4.0,40.0,,
256.0,Morley,Morley_1597_190-193,33,1.0,C1T-2,^C(1|3)T-2x?z?$,Clausula Vera,G,TC,1.0,4.0,G3,P8,P8,0.3076923076923077,8.0,8.0,,
64.0,Morley,Morley_1597_194,9,1.0,BC1,^BC(1|3)x?z?$,Authentic,F,CB,1.0,3.0,F3,P1,P8,0.42105263157894735,64.0,48.0,,
136.0,Morley,Morley_1597_194,18,1.0,BC1,^BC(1|3)x?z?$,Authentic,F,CtB,1.0,3.0,F3,P1,P8,0.8947368421052632,24.0,16.0,,
152.0,Morley,Morley_1597_194,20,1.0,BC1,^BC(1|3)x?z?$,Authentic,F,tCB,1.0,3.0,F3,P1,P8,1.0,16.0,8.0,,
112.0,Morley,Morley_1597_194,15,1.0,BC1,^BC(1|3)x?z?$,Authentic,F,tCB,1.0,3.0,F3,P1,P8,0.7368421052631579,48.0,24.0,,
412.0,Morley,Morley_1597_214-215,35,1.6666666666666665,C1T-2,^C(1|3)T-2x?z?$,Clausula Vera,G,CT,1.0,4.0,G2,P1,P8,1.0,112.0,8.0,,
48.0,Morley,Morley_1597_214-215,5,1.0,BC1,^BC(1|3)x?z?$,Authentic,D,CB,1.0,4.0,D3,P5,P5,0.11650485436893204,48.0,48.0,,
