,Bassus_SecundusTenor,Bassus_PrimusTenor,Bassus_Contratenor,Bassus_Superius,SecundusTenor_PrimusTenor,SecundusTenor_Contratenor,SecundusTenor_Superius,PrimusTenor_Contratenor,PrimusTenor_Superius,Contratenor_Superius
354.0,,,,,,,,"8_2, 6_4, 3_Held, 2_-2, 3","13_2, 13_4, 8_Held, 9_-2, 12","6_-2, 8_Held, 6_-2, 8_1, 10"
356.0,,,,,,,,"6_4, 3_Held, 2_-2, 3_-2, 8","13_4, 8_Held, 9_-2, 12_-2, 13","8_Held, 6_-2, 8_1, 10_5, 6"
358.0,,,,,,,,"3_Held, 2_-2, 3_-2, 8_Held, 7","8_Held, 9_-2, 12_-2, 13_Held, 12","6_-2, 8_1, 10_5, 6_-2, 6"
360.0,,,,,,,,"2_-2, 3_-2, 8_Held, 7_2, 6","9_-2, 12_-2, 13_Held, 12_2, 11","8_1, 10_5, 6_-2, 6_Held, 5"
362.0,,,,,"-3_2, -5_-3, -3_Held, -2_Held, 1","1_2, 4_-3, 5_2, 4_Held, 5","10_2, 9_-3, 10_2, 8_4, 5","3_-2, 8_Held, 7_2, 6_2, 5","12_-2, 13_Held, 12_2, 11_2, 10","10_5, 6_-2, 6_Held, 5_2, 4"
364.0,,,,,"-5_-3, -3_Held, -2_Held, 1_2, -5","4_-3, 5_2, 4_Held, 5_4, 3","9_-3, 10_2, 8_4, 5_Held, 4","8_Held, 7_2, 6_2, 5_-4, 8","13_Held, 12_2, 11_2, 10_-4, 12","6_-2, 6_Held, 5_2, 4_2, 3"
366.0,"1_Held, 2_-2, 6_-2, 7_Held, 6","-3_Held, -2_Held, 1_Held, -4_-2, -3","5_Held, 6_-2, 8_Held, 6_-2, 8","10_Held, 9_-2, 10_-2, 10_Held, 10","-3_Held, -2_Held, 1_2, -5_4, -8","5_2, 4_Held, 5_4, 3_Held, 1","10_2, 8_4, 5_Held, 4_-2, 5","7_2, 6_2, 5_-4, 8_Held, 9",,"6_Held, 5_2, 4_2, 3_-3, 5"
367.0,,,,,,,,"6_2, 5_-4, 8_Held, 9_Held, 10",,
367.5,,,,,,,,"5_-4, 8_Held, 9_Held, 10_Held, 8",,
368.0,"2_-2, 6_-2, 7_Held, 6_-2, 6",,,"9_-2, 10_-2, 10_Held, 10_-2, 11",,"4_Held, 5_4, 3_Held, 1_Held, 2","8_4, 5_Held, 4_-2, 5_-2, 6",,,"5_2, 4_2, 3_-3, 5_2, 3"
369.0,,,,,,"5_4, 3_Held, 1_Held, 2_-2, 3",,,,"4_2, 3_-3, 5_2, 3_Held, 3"
370.0,"6_-2, 7_Held, 6_-2, 6_Held, 5",,,"10_-2, 10_Held, 10_-2, 11_Held, 10",,,"5_Held, 4_-2, 5_-2, 6_-2, 6",,,
372.0,,,,,,,"4_-2, 5_-2, 6_-2, 6_Held, 5",,,
374.0,,,,,,,"5_-2, 6_-2, 6_Held, 5_-2, 6",,,
376.0,,,,,,,"6_-2, 6_Held, 5_-2, 6_2, 4",,,
378.0,,,,,,"4_Held, 3_-2, 3_2, 1_Held, 2",,,,"3_-2, 3_-2, 4_-2, 4_2, 3"
382.0,,,,,,,,"3_Held, 2_-2, 3_Held, 4_-2, 6",,
384.0,,"4_Held, 3_-2, 3_-2, 3_-2, 8","5_Held, 6_-2, 8_-2, 10_-2, 12",,,,,"2_-2, 3_Held, 4_-2, 6_-2, 8",,
386.0,,"3_-2, 3_-2, 3_-2, 8_4, 5",,,,,,"3_Held, 4_-2, 6_-2, 8_5, 5",,
387.0,,,"6_-2, 8_-2, 10_-2, 12_4, 10",,,,,"4_-2, 6_-2, 8_5, 5_Held, 6",,
388.0,,"3_-2, 3_-2, 8_4, 5_Held, 6","8_-2, 10_-2, 12_4, 10_Held, 9",,,,,"6_-2, 8_5, 5_Held, 6_2, 5",,
390.0,,"3_-2, 8_4, 5_Held, 6_-5, 10","10_-2, 12_4, 10_Held, 9_-5, 12",,,,,"8_5, 5_Held, 6_2, 5_Held, 4",,
392.0,,"8_4, 5_Held, 6_-5, 10_2, 8","12_4, 10_Held, 9_-5, 12_2, 11",,,,,"5_Held, 6_2, 5_Held, 4_Held, 3",,
394.0,"1_Held, 3_-5, 8_2, 5_4, 1",,"10_Held, 9_-5, 12_2, 11_Held, 10",,,"10_3, 8_Held, 7_2, 5_-3, 7",,"6_2, 5_Held, 4_Held, 3_-2, 4",,
396.0,"3_-5, 8_2, 5_4, 1_Held, 3",,,,,"8_Held, 7_2, 5_-3, 7_Held, 6",,"5_Held, 4_Held, 3_-2, 4_Held, 3",,
397.0,,,"9_-5, 12_2, 11_Held, 10_4, 8",,,"7_2, 5_-3, 7_Held, 6_-2, 8",,,,
398.0,"8_2, 5_4, 1_Held, 3_-2, 4",,"12_2, 11_Held, 10_4, 8_-2, 9",,,"5_-3, 7_Held, 6_-2, 8_3, 6",,,,
400.0,"5_4, 1_Held, 3_-2, 4_-3, 6",,,"12_4, 10_Held, 12_-2, 13_-3, 15",,,"8_-2, 10_3, 10_-2, 10_-2, 10",,,
404.0,"1_Held, 3_-2, 4_-3, 6_Held, 5",,,"10_Held, 12_-2, 13_-3, 15_Held, 14",,,"10_3, 10_-2, 10_-2, 10_-2, 10",,,
406.0,"3_-2, 4_-3, 6_Held, 5_2, 3","5_-2, 6_-3, 10_2, 10_Held, 8",,"12_-2, 13_-3, 15_Held, 14_2, 12","3_Held, 5_-2, 6_-2, 8_-2, 9",,"10_-2, 10_-2, 10_-2, 10_2, 8",,"8_3, 6_Held, 5_2, 3_Held, 2",
407.0,"4_-3, 6_Held, 5_2, 3_Held, 2","6_-3, 10_2, 10_Held, 8_-3, 10",,"13_-3, 15_Held, 14_2, 12_Held, 11",,,,,,
408.0,"6_Held, 5_2, 3_Held, 2_Held, 3","10_2, 10_Held, 8_-3, 10_5, 5",,"15_Held, 14_2, 12_Held, 11_Held, 10","5_-2, 6_-2, 8_-2, 9_2, 6",,,,"6_Held, 5_2, 3_Held, 2_-3, 3",
409.0,"5_2, 3_Held, 2_Held, 3_-3, 5",,,"14_2, 12_Held, 11_Held, 10_-3, 15",,,"10_-2, 10_-2, 10_2, 8_Held, 11",,"5_2, 3_Held, 2_-3, 3_Held, 6",
410.0,,"10_Held, 8_-3, 10_5, 5_Held, 4","3_Held, 5_-3, 8_5, 1_Held, 2","12_Held, 11_Held, 10_-3, 15_5, 10",,,,"-8_-3, -4_Held, -3_-2, -5_Held, -4","3_Held, 2_-3, 3_Held, 6_-2, 6","10_Held, 9_3, 6_2, 8_-4, 10"
411.0,,,,"11_Held, 10_-3, 15_5, 10_Held, 8",,,,,"2_-3, 3_Held, 6_-2, 6_Held, 4","9_3, 6_2, 8_-4, 10_2, 9"
412.0,,,"5_-3, 8_5, 1_Held, 2_Held, 3",,,,,"-4_Held, -3_-2, -5_Held, -4_Held, -3","3_Held, 6_-2, 6_Held, 4_-2, 5","6_2, 8_-4, 10_2, 9_2, 6"
414.0,,,"8_5, 1_Held, 2_Held, 3_Held, 4",,,,,"-3_-2, -5_Held, -4_Held, -3_-2, 1","6_-2, 6_Held, 4_-2, 5_-2, 8","8_-4, 10_2, 9_2, 6_2, 5"
416.0,,,,,,,,"-5_Held, -4_Held, -3_-2, 1_-2, 3","6_Held, 4_-2, 5_-2, 8_-3, 10","10_2, 9_2, 6_2, 5_2, 6"
417.0,,,,,,,,"-4_Held, -3_-2, 1_-2, 3_Held, 4",,"9_2, 6_2, 5_2, 6_2, 5"
418.0,,,,,"1_Held, -2_3, -5_2, -8_-3, -5","-3_Held, -2_3, -3_Held, -2_2, -4","4_3, 4_2, 3_-3, 4_-2, 3","-3_-2, 1_-2, 3_Held, 4_-3, 5","4_-2, 5_-2, 8_-3, 10_2, 8","6_2, 5_2, 6_2, 5_-2, 6"
419.0,,,,,,"-2_3, -3_Held, -2_2, -4_-3, -2",,"1_-2, 3_Held, 4_-3, 5_2, 4",,"5_2, 6_2, 5_-2, 6_Held, 5"
420.0,,,,,,"-3_Held, -2_2, -4_-3, -2_Held, -3","4_2, 3_-3, 4_-2, 3_1, 3","3_Held, 4_-3, 5_2, 4_Held, 3",,"6_2, 5_-2, 6_Held, 5_-2, 6"
421.0,,,,,,"-2_2, -4_-3, -2_Held, -3_Held, -4",,"4_-3, 5_2, 4_Held, 3_Held, 2",,"5_-2, 6_Held, 5_-2, 6_-2, 7"
422.0,,,,,,"-4_-3, -2_Held, -3_Held, -4_Held, -3","3_-3, 4_-2, 3_1, 3_Held, 4","5_2, 4_Held, 3_Held, 2_Held, 3",,"6_Held, 5_-2, 6_-2, 7_2, 6"
424.0,,,,,,"-2_Held, -3_Held, -4_Held, -3_-2, 1","4_-2, 3_1, 3_Held, 4_Held, 5",,,"5_-2, 6_-2, 7_2, 6_2, 3"
425.0,,,,,,"-3_Held, -4_Held, -3_-2, 1_1, 1",,,,"6_-2, 7_2, 6_2, 3_Held, 4"
428.0,"8_Held, 8_3, 6_Held, 5_Held, 3",,,,,,"3_1, 3_Held, 4_Held, 5_-2, 6",,,
430.0,"8_3, 6_Held, 5_Held, 3_2, 2","5_3, 3_Held, 6_2, 5_-3, 7",,,"-4_-2, -3_-3, 4_2, 3_Held, 3",,"3_Held, 4_Held, 5_-2, 6_-3, 8",,,
432.0,"6_Held, 5_Held, 3_2, 2_-3, 5","3_Held, 6_2, 5_-3, 7_Held, 7",,,,,,,,
433.0,"5_Held, 3_2, 2_-3, 5_Held, 3",,,,"-3_-3, 4_2, 3_Held, 3_-3, 4",,,,,
434.0,"3_2, 2_-3, 5_Held, 3_-2, 5","6_2, 5_-3, 7_Held, 7_Held, 6","6_2, 5_-3, 7_Held, 10_-2, 11",,"4_2, 3_Held, 3_-3, 4_2, 4","4_2, 3_-3, 8_2, 7_Held, 7",,"1_1, 1_-2, 5_2, 4_Held, 4",,
435.0,,"5_-3, 7_Held, 7_Held, 6_-2, 8","5_-3, 7_Held, 10_-2, 11_Held, 11",,,,,,,
436.0,,,"7_Held, 10_-2, 11_Held, 11_Held, 10",,,"3_-3, 8_2, 7_Held, 7_Held, 6",,,,
437.0,,,,,,,,"1_-2, 5_2, 4_Held, 4_Held, 3",,
438.0,,,,,,,,"5_2, 4_Held, 4_Held, 3_-2, 5",,
440.0,,,,,,,,"4_Held, 4_Held, 3_-2, 5_-2, 6",,
441.0,,,,,,,,"4_Held, 3_-2, 5_-2, 6_-2, 6",,
442.0,,,,,,,,"3_-2, 5_-2, 6_-2, 6_Held, 5","5_-2, 6_-2, 10_-2, 11_Held, 11","3_2, 2_Held, 5_-2, 6_Held, 6"
444.0,,,,,,,,,"6_-2, 10_-2, 11_Held, 11_Held, 10","2_Held, 5_-2, 6_Held, 6_-2, 6"
446.0,,,,,,"8_4, 4_Held, 3_1, 3_-2, 3","12_4, 9_Held, 9_Held, 8_1, 8",,,"5_-2, 6_Held, 6_-2, 6_-2, 8"
448.0,,,,,,"4_Held, 3_1, 3_-2, 3_Held, 4","9_Held, 9_Held, 8_1, 8_-2, 10",,,"6_Held, 6_-2, 6_-2, 8_2, 7"
449.0,,,,,,,"9_Held, 8_1, 8_-2, 10_1, 10",,,"6_-2, 6_-2, 8_2, 7_2, 6"
450.0,,,,,,"3_1, 3_-2, 3_Held, 4_1, 5","8_1, 8_-2, 10_1, 10_-4, 12",,,"6_-2, 8_2, 7_2, 6_2, 5"
451.0,,,,,,"3_-2, 3_Held, 4_1, 5_Held, 6","8_-2, 10_1, 10_-4, 12_2, 10",,,
452.0,,,,,,"3_Held, 4_1, 5_Held, 6_-4, 10","10_1, 10_-4, 12_2, 10_5, 6",,,"8_2, 7_2, 6_2, 5_2, 3"
453.0,,,,,,"4_1, 5_Held, 6_-4, 10_2, 8",,,,"7_2, 6_2, 5_2, 3_-2, 3"
454.0,,,,,,"5_Held, 6_-4, 10_2, 8_5, 4","10_-4, 12_2, 10_5, 6_Held, 5",,,"6_2, 5_2, 3_-2, 3_-2, 3"
455.0,,,,,,"6_-4, 10_2, 8_5, 4_Held, 3",,,,"5_2, 3_-2, 3_-2, 3_Held, 4"
456.0,,,,,,,"12_2, 10_5, 6_Held, 5_Held, 6",,,"3_-2, 3_-2, 3_Held, 4_2, 4"
458.0,,,"8_5, 3_Held, 4_1, 4_-2, 3","10_5, 5_Held, 6_Held, 7_1, 8",,,,,,"3_-2, 3_Held, 4_2, 4_Held, 5"
462.0,,"1_1, 1_-2, 5_2, 4_Held, 4","3_Held, 4_1, 4_-2, 3_2, 2","5_Held, 6_Held, 7_1, 8_-2, 10",,,,"3_Held, 4_4, -3_1, -3_-2, 3","5_Held, 6_Held, 7_Held, 8_4, 6","3_Held, 4_2, 4_Held, 5_-3, 8"
463.0,,,,"6_Held, 7_1, 8_-2, 10_2, 9",,,,,"6_Held, 7_Held, 8_4, 6_1, 5","4_2, 4_Held, 5_-3, 8_Held, 7"
464.0,,,"4_1, 4_-2, 3_2, 2_Held, 5","7_1, 8_-2, 10_2, 9_Held, 8",,,,"4_4, -3_1, -3_-2, 3_2, 2","7_Held, 8_4, 6_1, 5_-2, 8","4_Held, 5_-3, 8_Held, 7_4, 6"
465.0,,"1_-2, 5_2, 4_Held, 4_Held, 3","4_-2, 3_2, 2_Held, 5_-2, 6","8_-2, 10_2, 9_Held, 8_Held, 10",,,,,"8_4, 6_1, 5_-2, 8_2, 6","5_-3, 8_Held, 7_4, 6_Held, 5"
466.0,,"5_2, 4_Held, 4_Held, 3_-2, 5","3_2, 2_Held, 5_-2, 6_Held, 6","10_2, 9_Held, 8_Held, 10_-2, 10",,,,"-3_1, -3_-2, 3_2, 2_Held, 2","6_1, 5_-2, 8_2, 6_Held, 5","8_Held, 7_4, 6_Held, 5_1, 4"
468.0,,"4_Held, 4_Held, 3_-2, 5_-2, 6","2_Held, 5_-2, 6_Held, 6_-2, 6","9_Held, 8_Held, 10_-2, 10_Held, 9",,,,,,
469.0,,"4_Held, 3_-2, 5_-2, 6_-2, 6",,"8_Held, 10_-2, 10_Held, 9_-2, 10",,,,"-3_-2, 3_2, 2_Held, 2_Held, 1","5_-2, 8_2, 6_Held, 5_Held, 5","7_4, 6_Held, 5_1, 4_-2, 5"
470.0,,"3_-2, 5_-2, 6_-2, 6_Held, 5","5_-2, 6_Held, 6_-2, 6_-2, 8","10_-2, 10_Held, 9_-2, 10_-2, 11",,,,"3_2, 2_Held, 2_Held, 1_-2, 3","8_2, 6_Held, 5_Held, 5_-2, 6","6_Held, 5_1, 4_-2, 5_2, 4"
472.0,,"5_-2, 6_-2, 6_Held, 5_-5, 8","6_Held, 6_-2, 6_-2, 8_Held, 7","10_Held, 9_-2, 10_-2, 11_Held, 10",,,,"2_Held, 2_Held, 1_-2, 3_-2, 4","6_Held, 5_Held, 5_-2, 6_-2, 6","5_1, 4_-2, 5_2, 4_Held, 3"
473.0,,,"6_-2, 6_-2, 8_Held, 7_-5, 10","9_-2, 10_-2, 11_Held, 10_-5, 15",,,,"2_Held, 1_-2, 3_-2, 4_Held, 3","5_Held, 5_-2, 6_-2, 6_-2, 8","4_-2, 5_2, 4_Held, 3_-2, 4"
474.0,,"6_-2, 6_Held, 5_-5, 8_Held, 7","6_-2, 8_Held, 7_-5, 10_Held, 10","10_-2, 11_Held, 10_-5, 15_Held, 12",,,,"1_-2, 3_-2, 4_Held, 3_-2, 3","5_-2, 6_-2, 6_-2, 8_Held, 5","5_2, 4_Held, 3_-2, 4_-2, 6"
476.0,,,,,,,,"3_-2, 4_Held, 3_-2, 3_Held, 3","6_-2, 6_-2, 8_Held, 5_-2, 6","4_Held, 3_-2, 4_-2, 6_1, 3"
478.0,,,,,"5_Held, 4_4, 1_Held, -2_Held, -4","8_Held, 7_Held, 6_4, 3_Held, 2","10_Held, 11_4, 5_1, 6_-2, 8","4_Held, 3_-2, 3_Held, 3_-2, 4","6_-2, 8_Held, 5_-2, 6_-3, 8","3_-2, 4_-2, 6_1, 3_-2, 4"
479.0,,,,,,"7_Held, 6_4, 3_Held, 2_1, 2",,"3_-2, 3_Held, 3_-2, 4_-3, 5",,"4_-2, 6_1, 3_-2, 4_Held, 5"
480.0,,,,,"4_4, 1_Held, -2_Held, -4_1, -4","6_4, 3_Held, 2_1, 2_-2, 3","11_4, 5_1, 6_-2, 8_Held, 6","3_Held, 3_-2, 4_-3, 5_Held, 4","8_Held, 5_-2, 6_-3, 8_Held, 9","6_1, 3_-2, 4_Held, 5_Held, 6"
482.0,,,,,"1_Held, -2_Held, -4_1, -4_-2, -3","3_Held, 2_1, 2_-2, 3_Held, 2","5_1, 6_-2, 8_Held, 6_2, 6","3_-2, 4_-3, 5_Held, 4_Held, 5","5_-2, 6_-3, 8_Held, 9_Held, 10","3_-2, 4_Held, 5_Held, 6_-2, 5"
483.0,,,,,,,,,"6_-3, 8_Held, 9_Held, 10_Held, 8",
484.0,,,,,,"2_1, 2_-2, 3_Held, 2_Held, 3",,,,"4_Held, 5_Held, 6_-2, 5_2, 4"
485.0,,,,,,"2_-2, 3_Held, 2_Held, 3_2, 3","6_-2, 8_Held, 6_2, 6_Held, 5",,,"5_Held, 6_-2, 5_2, 4_2, 4"
486.0,,,,,,"3_Held, 2_Held, 3_2, 3_Held, 1","8_Held, 6_2, 6_Held, 5_-2, 6",,,"6_-2, 5_2, 4_2, 4_-3, 6"
487.0,,,,,,"2_Held, 3_2, 3_Held, 1_Held, 3","6_2, 6_Held, 5_-2, 6_-2, 7",,,"5_2, 4_2, 4_-3, 6_3, 3"
487.5,,,,,,"3_2, 3_Held, 1_Held, 3_-2, 4",,,,"4_2, 4_-3, 6_3, 3_-2, 3"
488.0,,,,,,"3_Held, 1_Held, 3_-2, 4_-2, 5","6_Held, 5_-2, 6_-2, 7_1, 6",,,"4_-3, 6_3, 3_-2, 3_-2, 4"
489.0,,,,,,"1_Held, 3_-2, 4_-2, 5_1, 4",,,,"6_3, 3_-2, 3_-2, 4_2, 4"
490.0,"8_Held, 7_Held, 6_4, 3_Held, 2",,"10_4, 6_Held, 5_Held, 6_1, 6","12_4, 8_Held, 9_1, 9_-2, 10",,"3_-2, 4_-2, 5_1, 4_Held, 3","5_-2, 6_-2, 7_1, 6_-2, 8",,,"3_-2, 3_-2, 4_2, 4_2, 3"
491.0,"7_Held, 6_4, 3_Held, 2_1, 2",,,,,"4_-2, 5_1, 4_Held, 3_-2, 5","6_-2, 7_1, 6_-2, 8_Held, 8",,,
492.0,"6_4, 3_Held, 2_1, 2_-2, 3","4_4, 1_Held, 4_1, 4_-2, 5",,,,"5_1, 4_Held, 3_-2, 5_Held, 6",,"7_Held, 6_Held, 5_4, 3_Held, 4","9_Held, 8_4, 6_Held, 6_1, 6",
494.0,,"1_Held, 4_1, 4_-2, 5_Held, 5","6_Held, 5_Held, 6_1, 6_-2, 8","8_Held, 9_1, 9_-2, 10_2, 10",,,,"6_Held, 5_4, 3_Held, 4_1, 4","8_4, 6_Held, 6_1, 6_-2, 8","3_-2, 4_2, 4_2, 3_-2, 5"
495.0,,,"5_Held, 6_1, 6_-2, 8_2, 6",,,,,"5_4, 3_Held, 4_1, 4_-2, 4",,"4_2, 4_2, 3_-2, 5_-2, 6"
496.0,,"4_1, 4_-2, 5_Held, 5_2, 3","6_1, 6_-2, 8_2, 6_Held, 5","9_1, 9_-2, 10_2, 10_Held, 10",,,,"3_Held, 4_1, 4_-2, 4_Held, 3","6_Held, 6_1, 6_-2, 8_Held, 8","4_2, 3_-2, 5_-2, 6_2, 5"
497.0,,"4_-2, 5_Held, 5_2, 3_-2, 5","6_-2, 8_2, 6_Held, 5_Held, 6","9_-2, 10_2, 10_Held, 10_-2, 10",,,,,,
498.0,,"5_Held, 5_2, 3_-2, 5_-2, 6","8_2, 6_Held, 5_Held, 6_-2, 8","10_2, 10_Held, 10_-2, 10_-2, 10",,,,"4_1, 4_-2, 4_Held, 3_Held, 4","6_1, 6_-2, 8_Held, 8_2, 6","3_-2, 5_-2, 6_2, 5_2, 3"
499.0,,"5_2, 3_-2, 5_-2, 6_-2, 6",,,,,,"4_-2, 4_Held, 3_Held, 4_2, 4","6_-2, 8_Held, 8_2, 6_Held, 5",
500.0,,"3_-2, 5_-2, 6_-2, 6_Held, 5","6_Held, 5_Held, 6_-2, 8_Held, 6","10_Held, 10_-2, 10_-2, 10_Held, 11",,,,"4_Held, 3_Held, 4_2, 4_Held, 2","8_Held, 8_2, 6_Held, 5_Held, 6","5_-2, 6_2, 5_2, 3_-3, 5"
502.0,,,"5_Held, 6_-2, 8_Held, 6_-2, 10",,,,,"3_Held, 4_2, 4_Held, 2_Held, 5",,"6_2, 5_2, 3_-3, 5_4, 1"
503.0,,,"6_-2, 8_Held, 6_-2, 10_-2, 11","10_-2, 10_-2, 10_Held, 11_-2, 13",,,,"4_2, 4_Held, 2_Held, 5_-2, 6","8_2, 6_Held, 5_Held, 6_-2, 8","5_2, 3_-3, 5_4, 1_Held, 2"
504.0,,,"8_Held, 6_-2, 10_-2, 11_Held, 10","10_-2, 10_Held, 11_-2, 13_Held, 14",,,,"4_Held, 2_Held, 5_-2, 6_-2, 6","6_Held, 5_Held, 6_-2, 8_Held, 9","3_-3, 5_4, 1_Held, 2_Held, 3"
505.0,,,,,,,,"2_Held, 5_-2, 6_-2, 6_-2, 6",,"5_4, 1_Held, 2_Held, 3_Held, 4"
506.0,,,,"10_Held, 11_-2, 13_Held, 14_Held, 15","4_5, -3_Held, -4_1, -4_-3, -3","8_5, 4_Held, 3_1, 3_-3, 4","8_Held, 9_5, 6_Held, 7_Held, 8",,"5_Held, 6_-2, 8_Held, 9_-2, 11","1_Held, 2_Held, 3_Held, 4_-2, 6"
507.0,,,,,,,"9_5, 6_Held, 7_Held, 8_1, 8",,"6_-2, 8_Held, 9_-2, 11_-2, 12","2_Held, 3_Held, 4_-2, 6_-2, 7"
508.0,,,,,"-3_Held, -4_1, -4_-3, -3_2, -4","4_Held, 3_1, 3_-3, 4_2, 3","6_Held, 7_Held, 8_1, 8_-3, 10",,"8_Held, 9_-2, 11_-2, 12_Held, 11","3_Held, 4_-2, 6_-2, 7_Held, 6"
509.0,,,,,,,"7_Held, 8_1, 8_-3, 10_2, 8",,,"4_-2, 6_-2, 7_Held, 6_-2, 8"
510.0,,,,,,"3_1, 3_-3, 4_2, 3_Held, 2","8_1, 8_-3, 10_2, 8_Held, 9",,,"6_-2, 7_Held, 6_-2, 8_Held, 4"
511.0,,,,,,"3_-3, 4_2, 3_Held, 2_-2, 3","8_-3, 10_2, 8_Held, 9_-2, 6",,,
512.0,,,,,,"4_2, 3_Held, 2_-2, 3_Held, 4","10_2, 8_Held, 9_-2, 6_-2, 8",,,"7_Held, 6_-2, 8_Held, 4_2, 3"
514.0,"8_5, 4_Held, 3_1, 3_-2, 3",,"10_5, 5_1, 6_-2, 8_Held, 8","15_5, 12_Held, 8_1, 8_-2, 10",,"3_Held, 2_-2, 3_Held, 4_-2, 6","8_Held, 9_-2, 6_-2, 8_Held, 9",,,"6_-2, 8_Held, 4_2, 3_2, 3"
516.0,"4_Held, 3_1, 3_-2, 3_2, 1",,"5_1, 6_-2, 8_Held, 8_2, 6","12_Held, 8_1, 8_-2, 10_Held, 11",,"2_-2, 3_Held, 4_-2, 6_Held, 6","9_-2, 6_-2, 8_Held, 9_Held, 10",,,"8_Held, 4_2, 3_2, 3_Held, 4"
518.0,,"1_1, 1_-2, 5_Held, 5_2, 3",,"8_1, 8_-2, 10_Held, 11_Held, 12",,"3_Held, 4_-2, 6_Held, 6_-2, 6","6_-2, 8_Held, 9_Held, 10_Held, 8","5_Held, 6_4, 4_Held, 4_1, 4","8_4, 6_Held, 7_Held, 8_1, 6","4_2, 3_2, 3_Held, 4_1, 5"
519.0,,"1_-2, 5_Held, 5_2, 3_-2, 5","6_-2, 8_Held, 8_2, 6_Held, 5","8_-2, 10_Held, 11_Held, 12_Held, 10",,"4_-2, 6_Held, 6_-2, 6_Held, 5",,"6_4, 4_Held, 4_1, 4_-2, 4",,"3_2, 3_Held, 4_1, 5_Held, 3"
520.0,,"5_Held, 5_2, 3_-2, 5_-2, 6","8_Held, 8_2, 6_Held, 5_Held, 6","10_Held, 11_Held, 12_Held, 10_2, 10",,"6_Held, 6_-2, 6_Held, 5_Held, 6","8_Held, 9_Held, 10_Held, 8_-2, 10","4_Held, 4_1, 4_-2, 4_Held, 3","6_Held, 7_Held, 8_1, 6_-2, 8","3_Held, 4_1, 5_Held, 3_-2, 5"
521.0,,,,"11_Held, 12_Held, 10_2, 10_Held, 8",,,"9_Held, 10_Held, 8_-2, 10_Held, 8",,"7_Held, 8_1, 6_-2, 8_Held, 6","4_1, 5_Held, 3_-2, 5_Held, 3"
522.0,,,"8_2, 6_Held, 5_Held, 6_-2, 8","12_Held, 10_2, 10_Held, 8_Held, 10",,,"10_Held, 8_-2, 10_Held, 8_Held, 10","4_1, 4_-2, 4_Held, 3_Held, 4","8_1, 6_-2, 8_Held, 6_Held, 8","5_Held, 3_-2, 5_Held, 3_-2, 6"
523.0,,"5_2, 3_-2, 5_-2, 6_-2, 6",,"10_2, 10_Held, 8_Held, 10_-2, 10",,,,"4_-2, 4_Held, 3_Held, 4_2, 4","6_-2, 8_Held, 6_Held, 8_2, 6","3_-2, 5_Held, 3_-2, 6_2, 5"
524.0,,"3_-2, 5_-2, 6_-2, 6_Held, 5","6_Held, 5_Held, 6_-2, 8_Held, 6","10_Held, 8_Held, 10_-2, 10_-2, 10",,,,"4_Held, 3_Held, 4_2, 4_Held, 2","8_Held, 6_Held, 8_2, 6_Held, 5","5_Held, 3_-2, 6_2, 5_2, 3"
525.0,,,,"8_Held, 10_-2, 10_-2, 10_-2, 11",,,,,"6_Held, 8_2, 6_Held, 5_-2, 6","3_-2, 6_2, 5_2, 3_-3, 5"
526.0,,,"5_Held, 6_-2, 8_Held, 6_-2, 8","10_-2, 10_-2, 10_-2, 11_Held, 10",,,,"3_Held, 4_2, 4_Held, 2_Held, 3","8_2, 6_Held, 5_-2, 6_-2, 6","6_2, 5_2, 3_-3, 5_2, 3"
527.0,,,"6_-2, 8_Held, 6_-2, 8_-2, 10",,,,,"4_2, 4_Held, 2_Held, 3_-2, 5",,"5_2, 3_-3, 5_2, 3_2, 2"
528.0,,,"8_Held, 6_-2, 8_-2, 10_Held, 9",,,,,"4_Held, 2_Held, 3_-2, 5_Held, 4","6_Held, 5_-2, 6_-2, 6_-2, 8","3_-3, 5_2, 3_2, 2_-2, 3"
529.0,,,"6_-2, 8_-2, 10_Held, 9_Held, 8",,,,,"2_Held, 3_-2, 5_Held, 4_-2, 4",,"5_2, 3_2, 2_-2, 3_-2, 3"
530.0,,,"8_-2, 10_Held, 9_Held, 8_Held, 7",,"4_5, -3_Held, -4_1, -4_-3, -3","6_5, 3_Held, 2_Held, 1_1, -2","8_5, 4_Held, 3_1, 3_-3, 6","3_-2, 5_Held, 4_-2, 4_Held, 3","5_-2, 6_-2, 6_-2, 8_1, 8","3_2, 2_-2, 3_-2, 3_-2, 4"
532.0,,,,,"-3_Held, -4_1, -4_-3, -3_3, -5","3_Held, 2_Held, 1_1, -2_-3, 3","4_Held, 3_1, 3_-3, 6_3, 4","5_Held, 4_-2, 4_Held, 3_-2, 5","6_-2, 6_-2, 8_1, 8_1, 8","2_-2, 3_-2, 3_-2, 4_2, 4"
533.0,,,,,,"2_Held, 1_1, -2_-3, 3_3, -5",,"4_-2, 4_Held, 3_-2, 5_Held, 1",,"3_-2, 3_-2, 4_2, 4_-5, 8"
534.0,,,,,"-4_1, -4_-3, -3_3, -5_2, -6","1_1, -2_-3, 3_3, -5_2, -3","3_1, 3_-3, 6_3, 4_2, 3","4_Held, 3_-2, 5_Held, 1_Held, 4",,"3_-2, 4_2, 4_-5, 8_4, 5"
