,Composer,Title,First_Offset,Measures_Beats,Melodic_Entry_Intervals,Offsets,Soggetti,Time_Entry_Intervals,Voices,Presentation_Type,Number_Entries,Flexed_Entries
99,Philippe Verdelot,Ultimi miei sospiri,500.0,"['63/3.0', '65/3.0', '67/2.0']","['P-5', 'M3']","[500.0, 516.0, 530.0]","[('-2', '-3', '2', '2'), ('-2', '-2', '2', '2'), ('-3', '-3', '2', '2'), ('-2', '-3', '2', '3')]","[16.0, 14.0]","['Altus', 'Quintus', 'Altus']",FUGA,3,True
100,Philippe Verdelot,Ultimi miei sospiri,504.0,"['64/1.0', '64/3.0']",['P4'],"[504.0, 508.0]","[('-3', '2', '2', '-2'), ('-2', '2', '3', '-2'), ('-3', '2', '3', '-2')]",[4.0],"['Altus', 'Cantus']",FUGA,2,True
101,Philippe Verdelot,Ultimi miei sospiri,508.0,"['64/3.0', '65/3.0']",['M-9'],"[508.0, 516.0]","[('-3', '2', '2', '-2'), ('-2', '2', '3', '-2'), ('-2', '2', '2', '-2'), ('-2', '2', '2', '-3')]",[8.0],"['Cantus', 'Sextus']",FUGA,2,True
102,Philippe Verdelot,Ultimi miei sospiri,508.0,"['64/3.0', '67/2.0', '70/3.0']","['M2', 'M-2']","[508.0, 530.0, 556.0]","[('2', '2', '-2', '-2'), ('2', '3', '-2', '-2'), ('2', '2', '-3', '-2')]","[22.0, 26.0]","['Altus', 'Quintus', 'Quintus']",FUGA,3,True
103,Philippe Verdelot,Ultimi miei sospiri,512.0,"['65/1.0', '66/4.0', '67/1.0', '67/2.5', '67/3.0']","['M-6', 'M9', 'm-3', 'M-7']","[512.0, 526.0, 528.0, 531.0, 532.0]","[('2', '-2', '-2', '-2'), ('3', '-2', '-2', '-2')]","[14.0, 2.0, 3.0, 1.0]","['Altus', 'Sextus', 'Cantus', 'Quintus', 'Bassus']",FUGA,5,True
104,Philippe Verdelot,Ultimi miei sospiri,516.0,"['65/3.0', '67/2.0']",['M3'],"[516.0, 530.0]","[('-2', '-3', '2', '2'), ('-2', '-2', '2', '2'), ('-2', '-2', '3', '2'), ('-2', '-2', '2', '3'), ('-3', '-2', '2', '2')]",[14.0],"['Quintus', 'Altus']",FUGA,2,True
105,Philippe Verdelot,Ultimi miei sospiri,520.0,"['66/1.0', '67/1.0']",['M-9'],"[520.0, 528.0]","[('-2', '4', '-2', '-2'), ('-2', '2', '-2', '-2'), ('-2', '3', '-2', '-2')]",[8.0],"['Cantus', 'Bassus']",FUGA,2,True
106,Philippe Verdelot,Ultimi miei sospiri,520.0,"['66/1.0', '66/3.0', '67/1.0', '68/1.0']","['P-8', 'P4', 'P-5', 'P5']","[520.0, 524.0, 528.0, 528.0, 536.0]","[('-2', '2', '-2', '-3'), ('-2', '2', '-2', '-2'), ('-2', '2', '-3', '-2'), ('-2', '3', '-2', '-2'), ('-3', '2', '-2', '-2')]","[4.0, 4.0, 0.0, 8.0]","['Cantus', 'Sextus', 'Altus', 'Bassus', 'Quintus']",FUGA,5,True
107,Philippe Verdelot,Ultimi miei sospiri,520.0,"['66/1.0', '67/2.0', '67/3.0', '67/4.5']","['P4', 'P-4', 'P-4']","[520.0, 530.0, 532.0, 535.0]","[('-2', '-2', '-2', '3'), ('-2', '-2', '-2', '2')]","[10.0, 2.0, 3.0]","['Altus', 'Cantus', 'Quintus', 'Tenor']",FUGA,4,True
108,Philippe Verdelot,Ultimi miei sospiri,520.0,"['66/1.0', '70/2.0']",['P-5'],"[520.0, 554.0]","[('4', '-2', '2', '-3'), ('4', '-2', '2', '-2'), ('4', '-2', '2', '-4')]",[34.0],"['Bassus', 'Bassus']",FUGA,2,True
109,Philippe Verdelot,Ultimi miei sospiri,522.0,"['66/2.0', '66/3.5', '66/4.0', '67/1.0']","['M2', 'M2', 'm2']","[522.0, 525.0, 526.0, 528.0]","[('2', '2', '2', '2')]","[3.0, 1.0, 2.0]","['Quintus', 'Quintus', 'Quintus', 'Quintus']",FUGA,4,False
110,Philippe Verdelot,Ultimi miei sospiri,524.0,"['66/3.0', '67/1.0', '68/1.0', '70/1.0']","['P4', 'P1', 'P-5']","[524.0, 528.0, 536.0, 552.0]","[('-3', '2', '-2', '-3'), ('-2', '2', '-2', '-3'), ('-3', '2', '-2', '-2'), ('-3', '3', '-2', '-3')]","[4.0, 8.0, 16.0]","['Sextus', 'Altus', 'Quintus', 'Sextus']",FUGA,4,True
