,Composer,Title,First_Offset,Measures_Beats,Melodic_Entry_Intervals,Offsets,Soggetti,Time_Entry_Intervals,Voices,Presentation_Type,Number_Entries,Flexed_Entries,Parallel_Entries,Parallel_Voice,Count_Non_Overlaps
26,Philippe Verdelot,Ultimi miei sospiri,250.0,"['32/2.0', '37/2.0', '41/2.0']","['P5', 'P-5']","[250.0, 290.0, 322.0]","[('2', '-3', '4', '-2'), ('1', '-3', '4', '-2')]","[40.0, 32.0]","['Tenor', 'Cantus', 'Quintus']",FUGA,3,True,0.0,,2
27,Philippe Verdelot,Ultimi miei sospiri,252.0,"['32/3.0', '37/3.0', '41/3.0']","['A4', 'P-5']","[252.0, 292.0, 324.0]","[('-3', '4', '-2', '-2'), ('-2', '4', '-2', '-2')]","[40.0, 32.0]","['Tenor', 'Cantus', 'Quintus']",FUGA,3,True,0.0,,2
28,Philippe Verdelot,Ultimi miei sospiri,256.0,"['33/1.0', '34/3.0']",['m-10'],"[256.0, 268.0]","[('-3', '2', '-3', '-2'), ('-2', '2', '-3', '-2')]",[12.0],"['Cantus', 'Bassus']",FUGA,2,True,1.0,Sextus,0
29,Philippe Verdelot,Ultimi miei sospiri,258.0,"['33/2.0', '34/4.0', '36/3.5', '37/3.0', '38/1.0', '39/1.0', '41/3.0', '42/1.0', '42/4.0', '43/1.0', '46/1.0', '51/1.5']","['P1', 'm-2', 'm2', 'P-5', 'A4', 'A-4', 'P-5', 'M7', 'P-4', 'P1', 'P8']","[258.0, 270.0, 285.0, 292.0, 296.0, 304.0, 324.0, 328.0, 334.0, 336.0, 360.0, 401.0]","[('-2', '-2', '-2', '2')]","[12.0, 15.0, 7.0, 4.0, 8.0, 20.0, 4.0, 6.0, 2.0, 24.0, 41.0]","['Tenor', 'Altus', 'Quintus', 'Altus', 'Sextus', 'Altus', 'Tenor', 'Bassus', 'Quintus', 'Tenor', 'Sextus', 'Cantus']",FUGA,12,False,0.0,,11
30,Philippe Verdelot,Ultimi miei sospiri,273.0,"['35/1.5', '43/1.0']",['M-3'],"[273.0, 336.0]","[('-2', '-2', '2', '1')]",[63.0],"['Altus', 'Quintus']",FUGA,2,False,0.0,,1
31,Philippe Verdelot,Ultimi miei sospiri,274.0,"['35/2.0', '38/1.5', '42/1.5']","['M-2', 'P-5']","[274.0, 297.0, 329.0]","[('2', '3', '-2', '-2')]","[23.0, 32.0]","['Quintus', 'Altus', 'Tenor']",FUGA,3,False,0.0,,2
32,Philippe Verdelot,Ultimi miei sospiri,276.0,"['35/3.0', '37/2.0', '38/2.0', '42/2.0', '50/2.0', '51/2.0']","['P1', 'M-2', 'P-5', 'P11', 'M-6']","[276.0, 290.0, 298.0, 330.0, 394.0, 402.0]","[('2', '-2', '-2', '-2'), ('3', '-2', '-2', '-2'), ('1', '-2', '-2', '-2')]","[14.0, 8.0, 32.0, 64.0, 8.0]","['Quintus', 'Altus', 'Altus', 'Tenor', 'Cantus', 'Altus']",FUGA,6,True,0.0,,5
33,Philippe Verdelot,Ultimi miei sospiri,284.0,"['36/3.0', '40/3.0']",['P-5'],"[284.0, 316.0]","[('1', '1', '1', '-3')]",[32.0],"['Cantus', 'Quintus']",FUGA,2,False,0.0,,1
34,Philippe Verdelot,Ultimi miei sospiri,286.0,"['36/4.0', '38/2.5', '39/2.0', '42/2.5', '43/2.0', '46/2.5', '51/2.0']","['P-4', 'P4', 'P-8', 'P4', 'P1', 'P8']","[286.0, 299.0, 306.0, 331.0, 338.0, 363.0, 402.0]","[('-2', '-2', '2', '2')]","[13.0, 7.0, 25.0, 7.0, 25.0, 39.0]","['Quintus', 'Sextus', 'Altus', 'Bassus', 'Tenor', 'Sextus', 'Cantus']",FUGA,7,False,0.0,,5
35,Philippe Verdelot,Ultimi miei sospiri,288.0,"['37/1.0', '41/1.0']",['P-5'],"[288.0, 320.0]","[('1', '1', '-3', '4')]",[32.0],"['Cantus', 'Quintus']",FUGA,2,False,0.0,,1
