Measure	Beat	Offset	4_3	4_2	4_1	3_2	3_1	2_1	Composer	Title	figures	figures_combined
20	2.0	158.0	8	3	5	3	5	3	Pierre Sandrin	Doulce memoire	835	['835', '584', '583', '838', '535', '358', '835', '458', '358', '833', '583', '573']
20	3.0	160.0	5	8	4	4	7	4	Pierre Sandrin	Doulce memoire	584	['584', '583', '838', '535', '358', '835', '458', '358', '833', '583', '573', '358']
20	4.0	162.0	5	8	3	4	6	3	Pierre Sandrin	Doulce memoire	583	['583', '838', '535', '358', '835', '458', '358', '833', '583', '573', '358', '583']
21	1.0	164.0	8	3	8	3	8	6	Pierre Sandrin	Doulce memoire	838	['838', '535', '358', '835', '458', '358', '833', '583', '573', '358', '583', '473']
21	3.0	168.0	5	3	5	6	8	3	Pierre Sandrin	Doulce memoire	535	['535', '358', '835', '458', '358', '833', '583', '573', '358', '583', '473', '363']
22	1.0	172.0	3	5	8	3	6	4	Pierre Sandrin	Doulce memoire	358	['358', '835', '458', '358', '833', '583', '573', '358', '583', '473', '363', '583']
22	2.0	174.0	8	3	5	3	5	3	Pierre Sandrin	Doulce memoire	835	['835', '458', '358', '833', '583', '573', '358', '583', '473', '363', '583', '850']
22	3.0	176.0	4	5	8	2	5	4	Pierre Sandrin	Doulce memoire	458	['458', '358', '833', '583', '573', '358', '583', '473', '363', '583', '850', '853']
22	4.0	178.0	3	5	8	3	6	4	Pierre Sandrin	Doulce memoire	358	['358', '833', '583', '573', '358', '583', '473', '363', '583', '850', '853', '538']
23	1.0	180.0	8	3	3	3	3	1	Pierre Sandrin	Doulce memoire	833	['833', '583', '573', '358', '583', '473', '363', '583', '850', '853', '538', '532']
23	2.0	182.0	5	8	3	4	6	3	Pierre Sandrin	Doulce memoire	583	['583', '573', '358', '583', '473', '363', '583', '850', '853', '538', '532', '533']
23	2.5	183.0	5	7	3	3	6	4	Pierre Sandrin	Doulce memoire	573	['573', '358', '583', '473', '363', '583', '850', '853', '538', '532', '533', '534']
23	3.0	184.0	3	5	8	3	6	4	Pierre Sandrin	Doulce memoire	358	['358', '583', '473', '363', '583', '850', '853', '538', '532', '533', '534', '835']
23	4.0	186.0	5	8	3	4	6	3	Pierre Sandrin	Doulce memoire	583	['583', '473', '363', '583', '850', '853', '538', '532', '533', '534', '835', '247']
24	1.0	188.0	4	7	3	4	7	4	Pierre Sandrin	Doulce memoire	473	['473', '363', '583', '850', '853', '538', '532', '533', '534', '835', '247', '358']
24	2.0	190.0	3	6	3	4	8	5	Pierre Sandrin	Doulce memoire	363	['363', '583', '850', '853', '538', '532', '533', '534', '835', '247', '358', '584']
24	3.0	192.0	5	8	3	4	6	3	Pierre Sandrin	Doulce memoire	583	['583', '850', '853', '538', '532', '533', '534', '835', '247', '358', '584', '583']
25	1.0	196.0	8	5	0	4	0	0	Pierre Sandrin	Doulce memoire	850	['850', '853', '538', '532', '533', '534', '835', '247', '358', '584', '583', '838']
25	2.0	198.0	8	5	3	4	3	6	Pierre Sandrin	Doulce memoire	853	['853', '538', '532', '533', '534', '835', '247', '358', '584', '583', '838', '538']
25	3.0	200.0	5	3	8	3	4	6	Pierre Sandrin	Doulce memoire	538	['538', '532', '533', '534', '835', '247', '358', '584', '583', '838', '538', '530']
25	3.5	201.0	5	3	2	3	5	7	Pierre Sandrin	Doulce memoire	532	['532', '533', '534', '835', '247', '358', '584', '583', '838', '538', '530', '538']
25	4.0	202.0	5	3	3	3	6	8	Pierre Sandrin	Doulce memoire	533	['533', '534', '835', '247', '358', '584', '583', '838', '538', '530', '538', '053']
25	4.5	203.0	5	3	4	3	7	2	Pierre Sandrin	Doulce memoire	534	['534', '835', '247', '358', '584', '583', '838', '538', '530', '538', '053', '853']
26	1.0	204.0	8	3	5	3	5	3	Pierre Sandrin	Doulce memoire	835	['835', '247', '358', '584', '583', '838', '538', '530', '538', '053', '853', '844']
26	2.0	206.0	2	4	7	3	6	4	Pierre Sandrin	Doulce memoire	247	['247', '358', '584', '583', '838', '538', '530', '538', '053', '853', '844', '835']
26	2.5	207.0	3	5	8	3	6	4	Pierre Sandrin	Doulce memoire	358	['358', '584', '583', '838', '538', '530', '538', '053', '853', '844', '835', '825']
26	3.0	208.0	5	8	4	4	7	4	Pierre Sandrin	Doulce memoire	584	['584', '583', '838', '538', '530', '538', '053', '853', '844', '835', '825', '385']
26	4.0	210.0	5	8	3	4	6	3	Pierre Sandrin	Doulce memoire	583	['583', '838', '538', '530', '538', '053', '853', '844', '835', '825', '385', '375']
27	1.0	212.0	8	3	8	3	8	6	Pierre Sandrin	Doulce memoire	838	['838', '538', '530', '538', '053', '853', '844', '835', '825', '385', '375', '853']
27	2.0	214.0	5	3	8	6	4	6	Pierre Sandrin	Doulce memoire	538	['538', '530', '538', '053', '853', '844', '835', '825', '385', '375', '853', '852']
