Measure	Beat	Offset	4_3	4_2	4_1	3_2	3_1	2_1	Composer	Title	figures	figures_combined
23	3.0	180.0	5	8	3	4	6	3	Roland de Lassus	Missa Doulce memoire: Credo	583	['583', '358', '584', '583', '835', '358', '584', '583', '038', '835', '583', '835']
23	4.0	182.0	3	5	8	3	6	4	Roland de Lassus	Missa Doulce memoire: Credo	358	['358', '584', '583', '835', '358', '584', '583', '038', '835', '583', '835', '583']
24	1.0	184.0	5	8	4	4	7	4	Roland de Lassus	Missa Doulce memoire: Credo	584	['584', '583', '835', '358', '584', '583', '038', '835', '583', '835', '583', '853']
24	2.0	186.0	5	8	3	4	6	3	Roland de Lassus	Missa Doulce memoire: Credo	583	['583', '835', '358', '584', '583', '038', '835', '583', '835', '583', '853', '358']
24	3.0	188.0	8	3	5	3	5	3	Roland de Lassus	Missa Doulce memoire: Credo	835	['835', '358', '584', '583', '038', '835', '583', '835', '583', '853', '358', '835']
24	4.0	190.0	3	5	8	3	6	4	Roland de Lassus	Missa Doulce memoire: Credo	358	['358', '584', '583', '038', '835', '583', '835', '583', '853', '358', '835', '583']
25	1.0	192.0	5	8	4	4	7	4	Roland de Lassus	Missa Doulce memoire: Credo	584	['584', '583', '038', '835', '583', '835', '583', '853', '358', '835', '583', '835']
25	2.0	194.0	5	8	3	4	6	3	Roland de Lassus	Missa Doulce memoire: Credo	583	['583', '038', '835', '583', '835', '583', '853', '358', '835', '583', '835', '363']
25	3.0	196.0	0	0	0	3	8	6	Roland de Lassus	Missa Doulce memoire: Credo	038	['038', '835', '583', '835', '583', '853', '358', '835', '583', '835', '363', '583']
25	4.0	198.0	8	3	5	3	5	3	Roland de Lassus	Missa Doulce memoire: Credo	835	['835', '583', '835', '583', '853', '358', '835', '583', '835', '363', '583', '385']
26	1.0	200.0	5	8	3	4	6	3	Roland de Lassus	Missa Doulce memoire: Credo	583	['583', '835', '583', '853', '358', '835', '583', '835', '363', '583', '385', '853']
26	2.0	202.0	8	3	5	3	5	3	Roland de Lassus	Missa Doulce memoire: Credo	835	['835', '583', '853', '358', '835', '583', '835', '363', '583', '385', '853', '583']
26	3.0	204.0	5	8	3	4	6	3	Roland de Lassus	Missa Doulce memoire: Credo	583	['583', '853', '358', '835', '583', '835', '363', '583', '385', '853', '583', '853']
27	1.0	208.0	8	5	3	4	3	6	Roland de Lassus	Missa Doulce memoire: Credo	853	['853', '358', '835', '583', '835', '363', '583', '385', '853', '583', '853', '358']
27	2.0	210.0	3	5	8	3	6	4	Roland de Lassus	Missa Doulce memoire: Credo	358	['358', '835', '583', '835', '363', '583', '385', '853', '583', '853', '358', '584']
27	3.0	212.0	8	3	5	3	5	3	Roland de Lassus	Missa Doulce memoire: Credo	835	['835', '583', '835', '363', '583', '385', '853', '583', '853', '358', '584', '583']
27	4.0	214.0	5	8	3	4	6	3	Roland de Lassus	Missa Doulce memoire: Credo	583	['583', '835', '363', '583', '385', '853', '583', '853', '358', '584', '583', '353']
28	1.0	216.0	8	3	5	3	5	3	Roland de Lassus	Missa Doulce memoire: Credo	835	['835', '363', '583', '385', '853', '583', '853', '358', '584', '583', '353', '584']
28	2.0	218.0	3	6	3	4	8	5	Roland de Lassus	Missa Doulce memoire: Credo	363	['363', '583', '385', '853', '583', '853', '358', '584', '583', '353', '584', '835']
28	3.0	220.0	5	8	3	4	6	3	Roland de Lassus	Missa Doulce memoire: Credo	583	['583', '385', '853', '583', '853', '358', '584', '583', '353', '584', '835', '584']
28	4.0	222.0	3	8	5	3	3	5	Roland de Lassus	Missa Doulce memoire: Credo	385	['385', '853', '583', '853', '358', '584', '583', '353', '584', '835', '584', '583']
29	1.0	224.0	8	5	3	4	3	6	Roland de Lassus	Missa Doulce memoire: Credo	853	['853', '583', '853', '358', '584', '583', '353', '584', '835', '584', '583', '838']
29	4.0	230.0	5	8	3	4	6	3	Roland de Lassus	Missa Doulce memoire: Credo	583	['583', '853', '358', '584', '583', '353', '584', '835', '584', '583', '838', '358']
30	1.0	232.0	8	5	3	4	3	6	Roland de Lassus	Missa Doulce memoire: Credo	853	['853', '358', '584', '583', '353', '584', '835', '584', '583', '838', '358', '360']
30	2.0	234.0	3	5	8	3	6	4	Roland de Lassus	Missa Doulce memoire: Credo	358	['358', '584', '583', '353', '584', '835', '584', '583', '838', '358', '360', '350']
30	3.0	236.0	5	8	4	4	7	4	Roland de Lassus	Missa Doulce memoire: Credo	584	['584', '583', '353', '584', '835', '584', '583', '838', '358', '360', '350', '530']
30	3.5	237.0	5	8	3	4	6	3	Roland de Lassus	Missa Doulce memoire: Credo	583	['583', '353', '584', '835', '584', '583', '838', '358', '360', '350', '530', '580']
30	4.0	238.0	3	5	3	3	8	6	Roland de Lassus	Missa Doulce memoire: Credo	353	['353', '584', '835', '584', '583', '838', '358', '360', '350', '530', '580', '350']
31	1.0	240.0	5	8	4	4	7	4	Roland de Lassus	Missa Doulce memoire: Credo	584	['584', '835', '584', '583', '838', '358', '360', '350', '530', '580', '350', '830']
31	2.0	242.0	8	3	5	3	5	3	Roland de Lassus	Missa Doulce memoire: Credo	835	['835', '584', '583', '838', '358', '360', '350', '530', '580', '350', '830', '530']
31	3.0	244.0	5	8	4	4	7	4	Roland de Lassus	Missa Doulce memoire: Credo	584	['584', '583', '838', '358', '360', '350', '530', '580', '350', '830', '530', '630']
31	4.0	246.0	5	8	3	4	6	3	Roland de Lassus	Missa Doulce memoire: Credo	583	['583', '838', '358', '360', '350', '530', '580', '350', '830', '530', '630', '530']
32	1.0	248.0	8	3	8	3	8	6	Roland de Lassus	Missa Doulce memoire: Credo	838	['838', '358', '360', '350', '530', '580', '350', '830', '530', '630', '530', '830']
32	2.0	250.0	3	5	8	3	6	4	Roland de Lassus	Missa Doulce memoire: Credo	358	['358', '360', '350', '530', '580', '350', '830', '530', '630', '530', '830', '680']
33	1.0	256.0	3	6	0	4	0	0	Roland de Lassus	Missa Doulce memoire: Credo	360	['360', '350', '530', '580', '350', '830', '530', '630', '530', '830', '680', '580']
33	2.0	258.0	3	5	0	3	0	0	Roland de Lassus	Missa Doulce memoire: Credo	350	['350', '530', '580', '350', '830', '530', '630', '530', '830', '680', '580', '530']
33	3.0	260.0	5	3	0	6	0	0	Roland de Lassus	Missa Doulce memoire: Credo	530	['530', '580', '350', '830', '530', '630', '530', '830', '680', '580', '530', '750']
33	4.0	262.0	5	8	0	4	0	0	Roland de Lassus	Missa Doulce memoire: Credo	580	['580', '350', '830', '530', '630', '530', '830', '680', '580', '530', '750', '640']
34	1.0	264.0	3	5	0	3	0	0	Roland de Lassus	Missa Doulce memoire: Credo	350	['350', '830', '530', '630', '530', '830', '680', '580', '530', '750', '640', '630']
34	2.0	266.0	8	3	0	3	0	0	Roland de Lassus	Missa Doulce memoire: Credo	830	['830', '530', '630', '530', '830', '680', '580', '530', '750', '640', '630', '830']
34	3.0	268.0	5	3	0	3	0	0	Roland de Lassus	Missa Doulce memoire: Credo	530	['530', '630', '530', '830', '680', '580', '530', '750', '640', '630', '830', '358']
34	4.0	270.0	6	3	0	4	0	0	Roland de Lassus	Missa Doulce memoire: Credo	630	['630', '530', '830', '680', '580', '530', '750', '640', '630', '830', '358', '583']
35	1.0	272.0	5	3	0	3	0	0	Roland de Lassus	Missa Doulce memoire: Credo	530	['530', '830', '680', '580', '530', '750', '640', '630', '830', '358', '583', '835']
35	2.0	274.0	8	3	0	3	0	0	Roland de Lassus	Missa Doulce memoire: Credo	830	['830', '680', '580', '530', '750', '640', '630', '830', '358', '583', '835', '368']
35	3.0	276.0	6	8	0	3	0	0	Roland de Lassus	Missa Doulce memoire: Credo	680	['680', '580', '530', '750', '640', '630', '830', '358', '583', '835', '368', '358']
35	3.5	277.0	5	8	0	4	0	0	Roland de Lassus	Missa Doulce memoire: Credo	580	['580', '530', '750', '640', '630', '830', '358', '583', '835', '368', '358', '373']
35	4.0	278.0	5	3	0	6	0	0	Roland de Lassus	Missa Doulce memoire: Credo	530	['530', '750', '640', '630', '830', '358', '583', '835', '368', '358', '373', '363']
36	1.0	280.0	7	5	0	6	0	0	Roland de Lassus	Missa Doulce memoire: Credo	750	['750', '640', '630', '830', '358', '583', '835', '368', '358', '373', '363', '583']
36	2.0	282.0	6	4	0	6	0	0	Roland de Lassus	Missa Doulce memoire: Credo	640	['640', '630', '830', '358', '583', '835', '368', '358', '373', '363', '583', '350']
36	2.5	283.0	6	3	0	5	0	0	Roland de Lassus	Missa Doulce memoire: Credo	630	['630', '830', '358', '583', '835', '368', '358', '373', '363', '583', '350', '358']
36	3.0	284.0	8	3	0	3	0	0	Roland de Lassus	Missa Doulce memoire: Credo	830	['830', '358', '583', '835', '368', '358', '373', '363', '583', '350', '358', '835']
36	4.0	286.0	3	5	8	3	6	4	Roland de Lassus	Missa Doulce memoire: Credo	358	['358', '583', '835', '368', '358', '373', '363', '583', '350', '358', '835', '358']
37	2.0	290.0	5	8	3	4	6	3	Roland de Lassus	Missa Doulce memoire: Credo	583	['583', '835', '368', '358', '373', '363', '583', '350', '358', '835', '358', '683']
38	1.0	296.0	8	3	5	3	5	3	Roland de Lassus	Missa Doulce memoire: Credo	835	['835', '368', '358', '373', '363', '583', '350', '358', '835', '358', '683', '583']
38	3.0	300.0	3	6	8	4	6	3	Roland de Lassus	Missa Doulce memoire: Credo	368	['368', '358', '373', '363', '583', '350', '358', '835', '358', '683', '583', '458']
38	3.5	301.0	3	5	8	3	6	4	Roland de Lassus	Missa Doulce memoire: Credo	358	['358', '373', '363', '583', '350', '358', '835', '358', '683', '583', '458', '358']
39	1.0	304.0	3	7	3	5	8	4	Roland de Lassus	Missa Doulce memoire: Credo	373	['373', '363', '583', '350', '358', '835', '358', '683', '583', '458', '358', '835']
39	2.0	306.0	3	6	3	4	8	5	Roland de Lassus	Missa Doulce memoire: Credo	363	['363', '583', '350', '358', '835', '358', '683', '583', '458', '358', '835', '583']
39	3.0	308.0	5	8	3	4	6	3	Roland de Lassus	Missa Doulce memoire: Credo	583	['583', '350', '358', '835', '358', '683', '583', '458', '358', '835', '583', '835']
40	1.0	312.0	3	5	0	3	0	0	Roland de Lassus	Missa Doulce memoire: Credo	350	['350', '358', '835', '358', '683', '583', '458', '358', '835', '583', '835', '458']
40	2.0	314.0	3	5	8	3	6	4	Roland de Lassus	Missa Doulce memoire: Credo	358	['358', '835', '358', '683', '583', '458', '358', '835', '583', '835', '458', '358']
40	3.0	316.0	8	3	5	3	5	3	Roland de Lassus	Missa Doulce memoire: Credo	835	['835', '358', '683', '583', '458', '358', '835', '583', '835', '458', '358', '583']
40	4.0	318.0	3	5	8	3	6	4	Roland de Lassus	Missa Doulce memoire: Credo	358	['358', '683', '583', '458', '358', '835', '583', '835', '458', '358', '583', '358']
41	1.0	320.0	6	8	3	3	5	3	Roland de Lassus	Missa Doulce memoire: Credo	683	['683', '583', '458', '358', '835', '583', '835', '458', '358', '583', '358', '835']
41	1.5	321.0	5	8	3	4	6	3	Roland de Lassus	Missa Doulce memoire: Credo	583	['583', '458', '358', '835', '583', '835', '458', '358', '583', '358', '835', '358']
41	3.0	324.0	4	5	8	2	5	4	Roland de Lassus	Missa Doulce memoire: Credo	458	['458', '358', '835', '583', '835', '458', '358', '583', '358', '835', '358', '360']
41	4.0	326.0	3	5	8	3	6	4	Roland de Lassus	Missa Doulce memoire: Credo	358	['358', '835', '583', '835', '458', '358', '583', '358', '835', '358', '360', '860']
42	1.0	328.0	8	3	5	3	5	3	Roland de Lassus	Missa Doulce memoire: Credo	835	['835', '583', '835', '458', '358', '583', '358', '835', '358', '360', '860', '380']
42	3.0	332.0	5	8	3	4	6	3	Roland de Lassus	Missa Doulce memoire: Credo	583	['583', '835', '458', '358', '583', '358', '835', '358', '360', '860', '380', '358']
42	4.0	334.0	8	3	5	3	5	3	Roland de Lassus	Missa Doulce memoire: Credo	835	['835', '458', '358', '583', '358', '835', '358', '360', '860', '380', '358', '036']
43	1.0	336.0	4	5	8	2	5	4	Roland de Lassus	Missa Doulce memoire: Credo	458	['458', '358', '583', '358', '835', '358', '360', '860', '380', '358', '036', '363']
43	2.0	338.0	3	5	8	3	6	4	Roland de Lassus	Missa Doulce memoire: Credo	358	['358', '583', '358', '835', '358', '360', '860', '380', '358', '036', '363', '683']
43	3.0	340.0	5	8	3	4	6	3	Roland de Lassus	Missa Doulce memoire: Credo	583	['583', '358', '835', '358', '360', '860', '380', '358', '036', '363', '683', '853']
43	4.0	342.0	3	5	8	3	6	4	Roland de Lassus	Missa Doulce memoire: Credo	358	['358', '835', '358', '360', '860', '380', '358', '036', '363', '683', '853', '583']
44	1.0	344.0	8	3	5	3	5	3	Roland de Lassus	Missa Doulce memoire: Credo	835	['835', '358', '360', '860', '380', '358', '036', '363', '683', '853', '583', '835']
44	3.0	348.0	3	5	8	3	6	4	Roland de Lassus	Missa Doulce memoire: Credo	358	['358', '360', '860', '380', '358', '036', '363', '683', '853', '583', '835', '538']
45	1.0	352.0	3	6	0	4	0	0	Roland de Lassus	Missa Doulce memoire: Credo	360	['360', '860', '380', '358', '036', '363', '683', '853', '583', '835', '538', '315']
45	4.0	358.0	8	6	0	3	0	0	Roland de Lassus	Missa Doulce memoire: Credo	860	['860', '380', '358', '036', '363', '683', '853', '583', '835', '538', '315', '336']
46	1.0	360.0	3	8	0	3	0	0	Roland de Lassus	Missa Doulce memoire: Credo	380	['380', '358', '036', '363', '683', '853', '583', '835', '538', '315', '336', '315']
46	2.0	362.0	3	5	8	3	6	4	Roland de Lassus	Missa Doulce memoire: Credo	358	['358', '036', '363', '683', '853', '583', '835', '538', '315', '336', '315', '385']
46	3.0	364.0	0	0	0	3	6	4	Roland de Lassus	Missa Doulce memoire: Credo	036	['036', '363', '683', '853', '583', '835', '538', '315', '336', '315', '385', '225']
46	4.0	366.0	3	6	3	4	8	5	Roland de Lassus	Missa Doulce memoire: Credo	363	['363', '683', '853', '583', '835', '538', '315', '336', '315', '385', '225', '835']
47	1.0	368.0	6	8	3	3	5	3	Roland de Lassus	Missa Doulce memoire: Credo	683	['683', '853', '583', '835', '538', '315', '336', '315', '385', '225', '835', '458']
47	2.0	370.0	8	5	3	4	3	6	Roland de Lassus	Missa Doulce memoire: Credo	853	['853', '583', '835', '538', '315', '336', '315', '385', '225', '835', '458', '358']
47	3.0	372.0	5	8	3	4	6	3	Roland de Lassus	Missa Doulce memoire: Credo	583	['583', '835', '538', '315', '336', '315', '385', '225', '835', '458', '358', '835']
47	4.0	374.0	8	3	5	3	5	3	Roland de Lassus	Missa Doulce memoire: Credo	835	['835', '538', '315', '336', '315', '385', '225', '835', '458', '358', '835', '583']
48	1.0	376.0	5	3	8	3	4	6	Roland de Lassus	Missa Doulce memoire: Credo	538	['538', '315', '336', '315', '385', '225', '835', '458', '358', '835', '583', '835']
48	2.0	378.0	3	1	5	3	3	5	Roland de Lassus	Missa Doulce memoire: Credo	315	['315', '336', '315', '385', '225', '835', '458', '358', '835', '583', '835', '583']
48	3.0	380.0	3	3	6	5	4	8	Roland de Lassus	Missa Doulce memoire: Credo	336	['336', '315', '385', '225', '835', '458', '358', '835', '583', '835', '583', '835']
48	4.0	382.0	3	1	5	3	3	5	Roland de Lassus	Missa Doulce memoire: Credo	315	['315', '385', '225', '835', '458', '358', '835', '583', '835', '583', '835', '358']
49	1.0	384.0	3	8	5	3	3	5	Roland de Lassus	Missa Doulce memoire: Credo	385	['385', '225', '835', '458', '358', '835', '583', '835', '583', '835', '358', '583']
49	1.5	385.0	2	2	5	1	4	4	Roland de Lassus	Missa Doulce memoire: Credo	225	['225', '835', '458', '358', '835', '583', '835', '583', '835', '358', '583', '358']
49	2.0	386.0	8	3	5	3	5	3	Roland de Lassus	Missa Doulce memoire: Credo	835	['835', '458', '358', '835', '583', '835', '583', '835', '358', '583', '358', '583']
49	3.0	388.0	4	5	8	2	5	4	Roland de Lassus	Missa Doulce memoire: Credo	458	['458', '358', '835', '583', '835', '583', '835', '358', '583', '358', '583', '358']
49	4.0	390.0	3	5	8	3	6	4	Roland de Lassus	Missa Doulce memoire: Credo	358	['358', '835', '583', '835', '583', '835', '358', '583', '358', '583', '358', '583']
50	1.0	392.0	8	3	5	3	5	3	Roland de Lassus	Missa Doulce memoire: Credo	835	['835', '583', '835', '583', '835', '358', '583', '358', '583', '358', '583', '835']
51	1.0	408.0	5	8	3	4	6	3	Roland de Lassus	Missa Doulce memoire: Credo	583	['583', '835', '583', '835', '358', '583', '358', '583', '358', '583', '835', '583']
53	1.0	424.0	8	3	5	3	5	3	Roland de Lassus	Missa Doulce memoire: Credo	835	['835', '583', '835', '358', '583', '358', '583', '358', '583', '835', '583', '835']
53	3.0	428.0	5	8	3	4	6	3	Roland de Lassus	Missa Doulce memoire: Credo	583	['583', '835', '358', '583', '358', '583', '358', '583', '835', '583', '835', '538']
54	3.0	436.0	8	3	5	3	5	3	Roland de Lassus	Missa Doulce memoire: Credo	835	['835', '358', '583', '358', '583', '358', '583', '835', '583', '835', '538', '385']
55	1.0	440.0	3	5	8	3	6	4	Roland de Lassus	Missa Doulce memoire: Credo	358	['358', '583', '358', '583', '358', '583', '835', '583', '835', '538', '385', '583']
56	1.0	448.0	5	8	3	4	6	3	Roland de Lassus	Missa Doulce memoire: Credo	583	['583', '358', '583', '358', '583', '835', '583', '835', '538', '385', '583', '385']
56	4.0	454.0	3	5	8	3	6	4	Roland de Lassus	Missa Doulce memoire: Credo	358	['358', '583', '358', '583', '835', '583', '835', '538', '385', '583', '385', '358']
57	1.0	456.0	5	8	3	4	6	3	Roland de Lassus	Missa Doulce memoire: Credo	583	['583', '358', '583', '835', '583', '835', '538', '385', '583', '385', '358', '835']
57	2.0	458.0	3	5	8	3	6	4	Roland de Lassus	Missa Doulce memoire: Credo	358	['358', '583', '835', '583', '835', '538', '385', '583', '385', '358', '835', '538']
57	3.0	460.0	5	8	3	4	6	3	Roland de Lassus	Missa Doulce memoire: Credo	583	['583', '835', '583', '835', '538', '385', '583', '385', '358', '835', '538', '853']
58	1.0	464.0	8	3	5	3	5	3	Roland de Lassus	Missa Doulce memoire: Credo	835	['835', '583', '835', '538', '385', '583', '385', '358', '835', '538', '853', '548']
59	1.0	472.0	5	8	3	4	6	3	Roland de Lassus	Missa Doulce memoire: Credo	583	['583', '835', '538', '385', '583', '385', '358', '835', '538', '853', '548', '538']
60	1.0	480.0	8	3	5	3	5	3	Roland de Lassus	Missa Doulce memoire: Credo	835	['835', '538', '385', '583', '385', '358', '835', '538', '853', '548', '538', '528']
60	3.0	484.0	5	3	8	6	4	6	Roland de Lassus	Missa Doulce memoire: Credo	538	['538', '385', '583', '385', '358', '835', '538', '853', '548', '538', '528', '538']
61	2.0	490.0	3	8	5	6	3	5	Roland de Lassus	Missa Doulce memoire: Credo	385	['385', '583', '385', '358', '835', '538', '853', '548', '538', '528', '538', '183']
61	3.0	492.0	5	8	3	4	6	3	Roland de Lassus	Missa Doulce memoire: Credo	583	['583', '385', '358', '835', '538', '853', '548', '538', '528', '538', '183', '000']
62	1.0	496.0	3	8	5	6	3	5	Roland de Lassus	Missa Doulce memoire: Credo	385	['385', '358', '835', '538', '853', '548', '538', '528', '538', '183', '000', '005']
62	3.0	500.0	3	5	8	3	6	4	Roland de Lassus	Missa Doulce memoire: Credo	358	['358', '835', '538', '853', '548', '538', '528', '538', '183', '000', '005', '006']
63	1.0	504.0	8	3	5	3	5	3	Roland de Lassus	Missa Doulce memoire: Credo	835	['835', '538', '853', '548', '538', '528', '538', '183', '000', '005', '006', '005']
63	3.0	508.0	5	3	8	6	4	6	Roland de Lassus	Missa Doulce memoire: Credo	538	['538', '853', '548', '538', '528', '538', '183', '000', '005', '006', '005', '003']
64	1.0	512.0	8	5	3	5	3	6	Roland de Lassus	Missa Doulce memoire: Credo	853	['853', '548', '538', '528', '538', '183', '000', '005', '006', '005', '003', '008']
65	1.0	520.0	5	4	8	7	4	5	Roland de Lassus	Missa Doulce memoire: Credo	548	['548', '538', '528', '538', '183', '000', '005', '006', '005', '003', '008', '005']
65	2.0	522.0	5	3	8	6	4	6	Roland de Lassus	Missa Doulce memoire: Credo	538	['538', '528', '538', '183', '000', '005', '006', '005', '003', '008', '005', '003']
65	2.5	523.0	5	2	8	5	4	7	Roland de Lassus	Missa Doulce memoire: Credo	528	['528', '538', '183', '000', '005', '006', '005', '003', '008', '005', '003', '008']
65	3.0	524.0	5	3	8	6	4	6	Roland de Lassus	Missa Doulce memoire: Credo	538	['538', '183', '000', '005', '006', '005', '003', '008', '005', '003', '008', '005']
66	1.0	528.0	1	8	3	8	3	3	Roland de Lassus	Missa Doulce memoire: Credo	183	['183', '000', '005', '006', '005', '003', '008', '005', '003', '008', '005', '003']
67	1.0	544.0	0	0	0	0	0	0	Roland de Lassus	Missa Doulce memoire: Credo	000	['000', '005', '006', '005', '003', '008', '005', '003', '008', '005', '003', '004']
67	2.0	546.0	0	0	0	0	0	5	Roland de Lassus	Missa Doulce memoire: Credo	005	['005', '006', '005', '003', '008', '005', '003', '008', '005', '003', '004', '003']
67	3.0	548.0	0	0	0	0	0	6	Roland de Lassus	Missa Doulce memoire: Credo	006	['006', '005', '003', '008', '005', '003', '008', '005', '003', '004', '003', '005']
68	1.0	552.0	0	0	0	0	0	5	Roland de Lassus	Missa Doulce memoire: Credo	005	['005', '003', '008', '005', '003', '008', '005', '003', '004', '003', '005', '000']
68	2.0	554.0	0	0	0	0	0	3	Roland de Lassus	Missa Doulce memoire: Credo	003	['003', '008', '005', '003', '008', '005', '003', '004', '003', '005', '000', '003']
68	3.0	556.0	0	0	0	0	0	8	Roland de Lassus	Missa Doulce memoire: Credo	008	['008', '005', '003', '008', '005', '003', '004', '003', '005', '000', '003', '005']
68	4.0	558.0	0	0	0	0	0	5	Roland de Lassus	Missa Doulce memoire: Credo	005	['005', '003', '008', '005', '003', '004', '003', '005', '000', '003', '005', '006']
69	1.0	560.0	0	0	0	0	0	3	Roland de Lassus	Missa Doulce memoire: Credo	003	['003', '008', '005', '003', '004', '003', '005', '000', '003', '005', '006', '000']
69	3.0	564.0	0	0	0	0	0	8	Roland de Lassus	Missa Doulce memoire: Credo	008	['008', '005', '003', '004', '003', '005', '000', '003', '005', '006', '000', '003']
69	4.0	566.0	0	0	0	0	0	5	Roland de Lassus	Missa Doulce memoire: Credo	005	['005', '003', '004', '003', '005', '000', '003', '005', '006', '000', '003', '008']
70	1.0	568.0	0	0	0	0	0	3	Roland de Lassus	Missa Doulce memoire: Credo	003	['003', '004', '003', '005', '000', '003', '005', '006', '000', '003', '008', '006']
70	1.5	569.0	0	0	0	0	0	4	Roland de Lassus	Missa Doulce memoire: Credo	004	['004', '003', '005', '000', '003', '005', '006', '000', '003', '008', '006', '005']
70	2.0	570.0	0	0	0	0	0	3	Roland de Lassus	Missa Doulce memoire: Credo	003	['003', '005', '000', '003', '005', '006', '000', '003', '008', '006', '005', '004']
70	2.5	571.0	0	0	0	0	0	5	Roland de Lassus	Missa Doulce memoire: Credo	005	['005', '000', '003', '005', '006', '000', '003', '008', '006', '005', '004', '003']
70	3.0	572.0	0	0	0	0	0	0	Roland de Lassus	Missa Doulce memoire: Credo	000	['000', '003', '005', '006', '000', '003', '008', '006', '005', '004', '003', '006']
70	4.0	574.0	0	0	0	0	0	3	Roland de Lassus	Missa Doulce memoire: Credo	003	['003', '005', '006', '000', '003', '008', '006', '005', '004', '003', '006', '007']
71	1.0	576.0	0	0	0	0	0	5	Roland de Lassus	Missa Doulce memoire: Credo	005	['005', '006', '000', '003', '008', '006', '005', '004', '003', '006', '007', '006']
71	2.0	578.0	0	0	0	0	0	6	Roland de Lassus	Missa Doulce memoire: Credo	006	['006', '000', '003', '008', '006', '005', '004', '003', '006', '007', '006', '008']
71	3.0	580.0	0	0	0	0	0	0	Roland de Lassus	Missa Doulce memoire: Credo	000	['000', '003', '008', '006', '005', '004', '003', '006', '007', '006', '008', '003']
71	4.0	582.0	0	0	0	0	0	3	Roland de Lassus	Missa Doulce memoire: Credo	003	['003', '008', '006', '005', '004', '003', '006', '007', '006', '008', '003', '005']
72	1.0	584.0	0	0	0	0	0	8	Roland de Lassus	Missa Doulce memoire: Credo	008	['008', '006', '005', '004', '003', '006', '007', '006', '008', '003', '005', '006']
72	2.0	586.0	0	0	0	0	0	6	Roland de Lassus	Missa Doulce memoire: Credo	006	['006', '005', '004', '003', '006', '007', '006', '008', '003', '005', '006', '005']
72	3.0	588.0	0	0	0	0	0	5	Roland de Lassus	Missa Doulce memoire: Credo	005	['005', '004', '003', '006', '007', '006', '008', '003', '005', '006', '005', '004']
72	4.0	590.0	0	0	0	0	0	4	Roland de Lassus	Missa Doulce memoire: Credo	004	['004', '003', '006', '007', '006', '008', '003', '005', '006', '005', '004', '003']
72	4.5	591.0	0	0	0	0	0	3	Roland de Lassus	Missa Doulce memoire: Credo	003	['003', '006', '007', '006', '008', '003', '005', '006', '005', '004', '003', '001']
73	2.0	594.0	0	0	0	0	0	6	Roland de Lassus	Missa Doulce memoire: Credo	006	['006', '007', '006', '008', '003', '005', '006', '005', '004', '003', '001', '005']
73	3.0	596.0	0	0	0	0	0	7	Roland de Lassus	Missa Doulce memoire: Credo	007	['007', '006', '008', '003', '005', '006', '005', '004', '003', '001', '005', '000']
73	4.0	598.0	0	0	0	0	0	6	Roland de Lassus	Missa Doulce memoire: Credo	006	['006', '008', '003', '005', '006', '005', '004', '003', '001', '005', '000', '008']
74	1.0	600.0	0	0	0	0	0	8	Roland de Lassus	Missa Doulce memoire: Credo	008	['008', '003', '005', '006', '005', '004', '003', '001', '005', '000', '008', '006']
74	2.0	602.0	0	0	0	0	0	3	Roland de Lassus	Missa Doulce memoire: Credo	003	['003', '005', '006', '005', '004', '003', '001', '005', '000', '008', '006', '003']
74	3.0	604.0	0	0	0	0	0	5	Roland de Lassus	Missa Doulce memoire: Credo	005	['005', '006', '005', '004', '003', '001', '005', '000', '008', '006', '003', '005']
74	4.0	606.0	0	0	0	0	0	6	Roland de Lassus	Missa Doulce memoire: Credo	006	['006', '005', '004', '003', '001', '005', '000', '008', '006', '003', '005', '006']
75	2.0	610.0	0	0	0	0	0	5	Roland de Lassus	Missa Doulce memoire: Credo	005	['005', '004', '003', '001', '005', '000', '008', '006', '003', '005', '006', '005']
75	2.5	611.0	0	0	0	0	0	4	Roland de Lassus	Missa Doulce memoire: Credo	004	['004', '003', '001', '005', '000', '008', '006', '003', '005', '006', '005', '003']
75	3.0	612.0	0	0	0	0	0	3	Roland de Lassus	Missa Doulce memoire: Credo	003	['003', '001', '005', '000', '008', '006', '003', '005', '006', '005', '003', '006']
76	3.0	620.0	0	0	0	0	0	1	Roland de Lassus	Missa Doulce memoire: Credo	001	['001', '005', '000', '008', '006', '003', '005', '006', '005', '003', '006', '003']
76	4.0	622.0	0	0	0	0	0	5	Roland de Lassus	Missa Doulce memoire: Credo	005	['005', '000', '008', '006', '003', '005', '006', '005', '003', '006', '003', '005']
77	1.0	624.0	0	0	0	0	0	0	Roland de Lassus	Missa Doulce memoire: Credo	000	['000', '008', '006', '003', '005', '006', '005', '003', '006', '003', '005', '000']
77	2.0	626.0	0	0	0	0	0	8	Roland de Lassus	Missa Doulce memoire: Credo	008	['008', '006', '003', '005', '006', '005', '003', '006', '003', '005', '000', '003']
77	3.0	628.0	0	0	0	0	0	6	Roland de Lassus	Missa Doulce memoire: Credo	006	['006', '003', '005', '006', '005', '003', '006', '003', '005', '000', '003', '002']
77	4.0	630.0	0	0	0	0	0	3	Roland de Lassus	Missa Doulce memoire: Credo	003	['003', '005', '006', '005', '003', '006', '003', '005', '000', '003', '002', '003']
78	3.0	636.0	0	0	0	0	0	5	Roland de Lassus	Missa Doulce memoire: Credo	005	['005', '006', '005', '003', '006', '003', '005', '000', '003', '002', '003', '005']
