Measure,Beat,[Cantus],[Altus],[Quintus],[Tenor],[Bassus],Composer,Title,Ténor
61,2.5,,"('-2', '-2', '4')",,,,Claudio Merulo,Missa Susanne un jour: Gloria,
61,3.0,"('-2', '-2', '-2')","('-2', '4', '2')",,"('1', '2', '2')",,Claudio Merulo,Missa Susanne un jour: Gloria,
61,4.0,,,,"('2', '2', '-2')",,Claudio Merulo,Missa Susanne un jour: Gloria,
61,4.5,"('-2', '-2', '-2')",,,,,Claudio Merulo,Missa Susanne un jour: Gloria,
62,1.0,"('-2', '-2', '4')","('4', '2', '2')",,"('2', '-2', '-2')",,Claudio Merulo,Missa Susanne un jour: Gloria,
62,2.0,,"('2', '2', '-2')",,,"('1', '-2', '1')",Claudio Merulo,Missa Susanne un jour: Gloria,
62,3.0,,,,"('-2', '-2', '-2')","('-2', '1', '2')",Claudio Merulo,Missa Susanne un jour: Gloria,
62,4.0,,,,"('-2', '-2', '-2')",,Claudio Merulo,Missa Susanne un jour: Gloria,
63,1.0,,,,,"('1', '2', '-2')",Claudio Merulo,Missa Susanne un jour: Gloria,
63,1.5,,,,"('-2', '-2', '2')",,Claudio Merulo,Missa Susanne un jour: Gloria,
63,2.0,,,"('1', '-2', '1')",,"('2', '-2', '-2')",Claudio Merulo,Missa Susanne un jour: Gloria,
63,3.0,,,"('-2', '1', '2')",,"('-2', '-2', '1')",Claudio Merulo,Missa Susanne un jour: Gloria,
63,4.0,,"('1', '-2', '1')",,,,Claudio Merulo,Missa Susanne un jour: Gloria,
63,4.5,,,,,"('-2', '1', '-2')",Claudio Merulo,Missa Susanne un jour: Gloria,
64,1.0,,"('-2', '1', '2')","('1', '2', '-4')",,"('1', '-2', '4')",Claudio Merulo,Missa Susanne un jour: Gloria,
64,2.0,,,"('2', '-4', '2')",,,Claudio Merulo,Missa Susanne un jour: Gloria,
64,3.0,,"('1', '2', '1')","('-4', '2', '-2')",,,Claudio Merulo,Missa Susanne un jour: Gloria,
64,4.0,"('1', '-2', '1')","('2', '1', '-3')","('2', '-2', '2')",,,Claudio Merulo,Missa Susanne un jour: Gloria,
65,1.0,"('-2', '1', '2')","('1', '-3', '-2')","('-2', '2', '-2')",,,Claudio Merulo,Missa Susanne un jour: Gloria,
65,2.0,,"('-3', '-2', '4')",,,,Claudio Merulo,Missa Susanne un jour: Gloria,
65,3.0,"('1', '2', '-2')","('-2', '4', '1')","('2', '-2', '-2')",,,Claudio Merulo,Missa Susanne un jour: Gloria,
65,4.0,"('2', '-2', '-2')",,,,,Claudio Merulo,Missa Susanne un jour: Gloria,
66,1.0,"('-2', '-2', '1')","('4', '1', '-3')","('-2', '-2', '2')",,,Claudio Merulo,Missa Susanne un jour: Gloria,
66,2.0,,"('1', '-3', '1')",,"('1', '-2', '2')",,Claudio Merulo,Missa Susanne un jour: Gloria,
66,2.5,"('-2', '1', '-2')",,"('-2', '2', '1')",,,Claudio Merulo,Missa Susanne un jour: Gloria,
66,3.0,"('1', '-2', '1')",,"('2', '1', '1')",,,Claudio Merulo,Missa Susanne un jour: Gloria,
66,4.0,,"('-3', '1', '2')",,"('-2', '2', '3')",,Claudio Merulo,Missa Susanne un jour: Gloria,
67,1.0,,"('1', '2', '2')","('1', '1', '6')","('2', '3', '1')",,Claudio Merulo,Missa Susanne un jour: Gloria,
67,2.0,,"('2', '2', '2')",,,,Claudio Merulo,Missa Susanne un jour: Gloria,
67,3.0,,"('2', '2', '-3')",,"('3', '1', '1')","('1', '-2', '2')",Claudio Merulo,Missa Susanne un jour: Gloria,
67,4.0,,,"('1', '6', '-2')","('1', '1', '-2')",,Claudio Merulo,Missa Susanne un jour: Gloria,
68,1.0,,,"('6', '-2', '-2')",,,Claudio Merulo,Missa Susanne un jour: Gloria,
68,1.5,,,,"('1', '-2', '-2')",,Claudio Merulo,Missa Susanne un jour: Gloria,
68,2.0,,,,"('-2', '-2', '-2')","('-2', '2', '5')",Claudio Merulo,Missa Susanne un jour: Gloria,
68,3.0,,,,"('-2', '-2', '2')","('2', '5', '-5')",Claudio Merulo,Missa Susanne un jour: Gloria,
68,4.0,,,,"('-2', '2', '1')","('5', '-5', '4')",Claudio Merulo,Missa Susanne un jour: Gloria,
69,1.0,,,,,"('-5', '4', '1')",Claudio Merulo,Missa Susanne un jour: Gloria,
69,2.0,"('1', '2', '3')",,,"('2', '1', '1')",,Claudio Merulo,Missa Susanne un jour: Gloria,
69,3.0,,,,"('1', '1', '-3')","('4', '1', '-5')",Claudio Merulo,Missa Susanne un jour: Gloria,
69,4.0,"('2', '3', '-2')",,,"('1', '-3', '1')",,Claudio Merulo,Missa Susanne un jour: Gloria,
70,1.0,"('3', '-2', '-4')",,,,"('1', '-5', '1')",Claudio Merulo,Missa Susanne un jour: Gloria,
70,2.0,,"('-4', '2', '1')",,"('-3', '1', '2')",,Claudio Merulo,Missa Susanne un jour: Gloria,
70,3.0,"('-2', '-4', '5')",,"('1', '1', '-3')","('1', '2', '-2')",,Claudio Merulo,Missa Susanne un jour: Gloria,
70,4.0,,"('2', '1', '3')",,"('2', '-2', '-2')","('-5', '1', '2')",Claudio Merulo,Missa Susanne un jour: Gloria,
71,1.0,"('-4', '5', '-3')","('1', '3', '-2')",,"('-2', '-2', '-2')","('1', '2', '4')",Claudio Merulo,Missa Susanne un jour: Gloria,
71,2.0,,,"('1', '-3', '-2')",,,Claudio Merulo,Missa Susanne un jour: Gloria,
71,3.0,,"('3', '-2', '-2')","('-3', '-2', '1')",,,Claudio Merulo,Missa Susanne un jour: Gloria,
71,4.0,,"('-2', '-2', '2')","('-2', '1', '1')",,,Claudio Merulo,Missa Susanne un jour: Gloria,
72,1.0,,,"('1', '1', '1')",,,Claudio Merulo,Missa Susanne un jour: Gloria,
72,2.0,,"('-2', '2', '2')",,,,Claudio Merulo,Missa Susanne un jour: Gloria,
72,2.5,,"('2', '2', '1')",,,,Claudio Merulo,Missa Susanne un jour: Gloria,
73,1.0,,,"('1', '1', '-2')",,,Claudio Merulo,Missa Susanne un jour: Gloria,
73,2.0,,,"('1', '-2', '-2')",,,Claudio Merulo,Missa Susanne un jour: Gloria,
73,3.0,,,"('-2', '-2', '4')",,,Claudio Merulo,Missa Susanne un jour: Gloria,
73,4.0,,,,"('2', '-2', '-2')",,Claudio Merulo,Missa Susanne un jour: Gloria,
74,1.0,,,"('-2', '4', '-2')","('-2', '-2', '-2')",,Claudio Merulo,Missa Susanne un jour: Gloria,
74,2.0,,,"('4', '-2', '-2')","('-2', '-2', '4')",,Claudio Merulo,Missa Susanne un jour: Gloria,
74,3.0,,,"('-2', '-2', '-2')","('-2', '4', '-2')",,Claudio Merulo,Missa Susanne un jour: Gloria,
74,4.0,,,"('-2', '-2', '4')","('4', '-2', '-2')",,Claudio Merulo,Missa Susanne un jour: Gloria,
75,1.0,,,"('-2', '4', '1')","('-2', '-2', '-4')",,Claudio Merulo,Missa Susanne un jour: Gloria,
75,2.0,,,"('4', '1', '-2')","('-2', '-4', '1')",,Claudio Merulo,Missa Susanne un jour: Gloria,
75,3.0,,,"('1', '-2', '4')","('-4', '1', '4')",,Claudio Merulo,Missa Susanne un jour: Gloria,
75,4.0,,,,"('1', '4', '-2')","('1', '5', '1')",Claudio Merulo,Missa Susanne un jour: Gloria,
76,1.0,"('1', '3', '-2')",,,,,Claudio Merulo,Missa Susanne un jour: Gloria,
76,1.5,,,,"('4', '-2', '1')",,Claudio Merulo,Missa Susanne un jour: Gloria,
76,2.0,,,"('-2', '4', '-2')","('-2', '1', '3')","('5', '1', '-4')",Claudio Merulo,Missa Susanne un jour: Gloria,
76,3.0,,,"('4', '-2', '-3')","('1', '3', '1')","('1', '-4', '-3')",Claudio Merulo,Missa Susanne un jour: Gloria,
76,4.0,"('3', '-2', '2')",,,"('3', '1', '3')","('-4', '-3', '5')",Claudio Merulo,Missa Susanne un jour: Gloria,
77,1.0,"('-2', '2', '2')",,"('-2', '-3', '-2')","('1', '3', '1')",,Claudio Merulo,Missa Susanne un jour: Gloria,
77,2.0,"('2', '2', '2')","('3', '2', '1')","('-3', '-2', '-2')",,"('-3', '5', '-5')",Claudio Merulo,Missa Susanne un jour: Gloria,
77,2.5,,,,"('3', '1', '1')",,Claudio Merulo,Missa Susanne un jour: Gloria,
77,3.0,"('2', '2', '1')",,"('-2', '-2', '2')","('1', '1', '-3')","('5', '-5', '1')",Claudio Merulo,Missa Susanne un jour: Gloria,
77,4.0,"('2', '1', '1')","('2', '1', '-4')","('-2', '2', '2')","('1', '-3', '1')","('-5', '1', '8')",Claudio Merulo,Missa Susanne un jour: Gloria,
78,1.0,"('1', '1', '-2')","('1', '-4', '3')","('2', '2', '2')","('-3', '1', '3')","('1', '8', '-4')",Claudio Merulo,Missa Susanne un jour: Gloria,
78,1.5,,,"('2', '2', '2')",,,Claudio Merulo,Missa Susanne un jour: Gloria,
78,2.0,"('1', '-2', '1')","('-4', '3', '1')","('2', '2', '-4')",,"('8', '-4', '1')",Claudio Merulo,Missa Susanne un jour: Gloria,
78,2.5,,,"('2', '-4', '1')",,,Claudio Merulo,Missa Susanne un jour: Gloria,
78,3.0,,,"('-4', '1', '1')","('1', '3', '-4')","('-4', '1', '-4')",Claudio Merulo,Missa Susanne un jour: Gloria,
78,4.0,"('-2', '1', '1')","('3', '1', '-2')",,"('3', '-4', '4')",,Claudio Merulo,Missa Susanne un jour: Gloria,
79,1.0,"('1', '1', '-3')","('1', '-2', '1')",,"('-4', '4', '-2')","('1', '-4', '4')",Claudio Merulo,Missa Susanne un jour: Gloria,
79,1.5,,,,"('4', '-2', '-2')",,Claudio Merulo,Missa Susanne un jour: Gloria,
79,2.0,,"('-2', '1', '-2')",,"('-2', '-2', '2')","('-4', '4', '1')",Claudio Merulo,Missa Susanne un jour: Gloria,
79,3.0,"('1', '-3', '4')","('1', '-2', '3')",,,"('4', '1', '-3')",Claudio Merulo,Missa Susanne un jour: Gloria,
79,3.5,,,,"('-2', '2', '2')",,Claudio Merulo,Missa Susanne un jour: Gloria,
79,3.75,,,,"('2', '2', '-4')",,Claudio Merulo,Missa Susanne un jour: Gloria,
79,4.0,"('-3', '4', '1')","('-2', '3', '-5')",,"('2', '-4', '4')",,Claudio Merulo,Missa Susanne un jour: Gloria,
80,1.0,"('4', '1', '-2')","('3', '-5', '4')",,"('-4', '4', '-2')","('1', '-3', '-3')",Claudio Merulo,Missa Susanne un jour: Gloria,
80,2.0,,,,"('4', '-2', '-2')","('-3', '-3', '2')",Claudio Merulo,Missa Susanne un jour: Gloria,
80,3.0,"('1', '-2', '-2')","('-5', '4', '-3')",,"('-2', '-2', '-2')","('-3', '2', '5')",Claudio Merulo,Missa Susanne un jour: Gloria,
80,4.0,"('-2', '-2', '2')","('4', '-3', '1')","('-3', '1', '8')",,"('2', '5', '-5')",Claudio Merulo,Missa Susanne un jour: Gloria,
81,1.0,"('-2', '2', '1')","('-3', '1', '-3')","('1', '8', '-2')","('-2', '-2', '-2')",,Claudio Merulo,Missa Susanne un jour: Gloria,
81,2.0,"('2', '1', '-2')",,,"('-2', '-2', '-2')",,Claudio Merulo,Missa Susanne un jour: Gloria,
81,3.0,"('1', '-2', '-2')","('1', '-3', '1')","('8', '-2', '-2')","('-2', '-2', '-2')",,Claudio Merulo,Missa Susanne un jour: Gloria,
81,4.0,"('-2', '-2', '2')","('-3', '1', '2')","('-2', '-2', '2')",,,Claudio Merulo,Missa Susanne un jour: Gloria,
82,1.0,,"('1', '2', '4')",,,,Claudio Merulo,Missa Susanne un jour: Gloria,
82,1.5,"('-2', '2', '1')",,"('-2', '2', '2')",,,Claudio Merulo,Missa Susanne un jour: Gloria,
82,1.75,,,"('2', '2', '1')",,,Claudio Merulo,Missa Susanne un jour: Gloria,
82,2.0,"('2', '1', '1')",,"('2', '1', '-4')",,,Claudio Merulo,Missa Susanne un jour: Gloria,
82,2.5,,"('2', '4', '1')",,,,Claudio Merulo,Missa Susanne un jour: Gloria,
82,3.0,"('1', '1', '2')",,"('1', '-4', '2')",,,Claudio Merulo,Missa Susanne un jour: Gloria,
82,4.0,"('1', '2', '1')",,"('-4', '2', '-2')",,"('1', '-5', '-2')",Claudio Merulo,Missa Susanne un jour: Gloria,
83,1.0,,,"('2', '-2', '1')",,,Claudio Merulo,Missa Susanne un jour: Gloria,
83,2.0,"('2', '1', '2')",,,,"('-5', '-2', '1')",Claudio Merulo,Missa Susanne un jour: Gloria,
83,3.0,"('1', '2', '-3')",,"('-2', '1', '1')",,"('-2', '1', '1')",Claudio Merulo,Missa Susanne un jour: Gloria,
84,1.0,,,"('1', '1', '-2')","('1', '1', '1')","('1', '1', '5')",Claudio Merulo,Missa Susanne un jour: Gloria,
84,2.0,,"('-4', '3', '1')",,,"('1', '5', '1')",Claudio Merulo,Missa Susanne un jour: Gloria,
84,2.5,,,,"('1', '1', '-3')",,Claudio Merulo,Missa Susanne un jour: Gloria,
84,3.0,,,"('1', '-2', '-5')","('1', '-3', '-2')",,Claudio Merulo,Missa Susanne un jour: Gloria,
84,4.0,,"('3', '1', '-2')",,,"('5', '1', '-2')",Claudio Merulo,Missa Susanne un jour: Gloria,
84,4.5,,,"('-2', '-5', '2')",,,Claudio Merulo,Missa Susanne un jour: Gloria,
85,1.0,,"('1', '-2', '-2')","('-5', '2', '2')","('-3', '-2', '-2')","('1', '-2', '-2')",Claudio Merulo,Missa Susanne un jour: Gloria,
85,2.0,,"('-2', '-2', '1')",,"('-2', '-2', '2')",,Claudio Merulo,Missa Susanne un jour: Gloria,
85,3.0,,"('-2', '1', '1')",,,,Claudio Merulo,Missa Susanne un jour: Gloria,
85,3.5,,,,"('-2', '2', '2')",,Claudio Merulo,Missa Susanne un jour: Gloria,
85,3.75,,,,"('2', '2', '-3')",,Claudio Merulo,Missa Susanne un jour: Gloria,
85,4.0,,,,"('2', '-3', '-3')",,Claudio Merulo,Missa Susanne un jour: Gloria,
86,1.0,,"('1', '1', '4')",,"('-3', '-3', '4')",,Claudio Merulo,Missa Susanne un jour: Gloria,
86,2.0,"('1', '1', '2')","('1', '4', '-3')",,,,Claudio Merulo,Missa Susanne un jour: Gloria,
86,3.0,,,,"('-3', '4', '1')",,Claudio Merulo,Missa Susanne un jour: Gloria,
86,3.5,"('1', '2', '1')","('4', '-3', '1')",,,,Claudio Merulo,Missa Susanne un jour: Gloria,
86,4.0,"('2', '1', '-2')","('-3', '1', '2')",,,,Claudio Merulo,Missa Susanne un jour: Gloria,
86,4.5,,,,"('4', '1', '1')",,Claudio Merulo,Missa Susanne un jour: Gloria,
87,1.0,"('1', '-2', '-2')","('1', '2', '2')",,"('1', '1', '-2')",,Claudio Merulo,Missa Susanne un jour: Gloria,
87,2.0,"('-2', '-2', '-2')","('2', '2', '-2')",,"('1', '-2', '5')",,Claudio Merulo,Missa Susanne un jour: Gloria,
87,3.0,,"('2', '-2', '-2')",,"('-2', '5', '1')",,Claudio Merulo,Missa Susanne un jour: Gloria,
87,4.0,,"('-2', '-2', '2')",,"('5', '1', '-5')",,Claudio Merulo,Missa Susanne un jour: Gloria,
88,1.0,,,,"('1', '-5', '1')",,Claudio Merulo,Missa Susanne un jour: Gloria,
88,1.5,,"('-2', '2', '2')",,,,Claudio Merulo,Missa Susanne un jour: Gloria,
88,1.75,,"('2', '2', '-4')",,,,Claudio Merulo,Missa Susanne un jour: Gloria,
88,2.0,,"('2', '-4', '1')",,"('-5', '1', '-4')",,Claudio Merulo,Missa Susanne un jour: Gloria,
88,3.0,,"('-4', '1', '1')",,"('1', '-4', '4')",,Claudio Merulo,Missa Susanne un jour: Gloria,
88,4.0,,"('1', '1', '2')","('1', '1', '2')",,"('1', '1', '4')",Claudio Merulo,Missa Susanne un jour: Gloria,
88,4.5,,,,"('-4', '4', '1')",,Claudio Merulo,Missa Susanne un jour: Gloria,
89,1.0,,,,"('4', '1', '1')",,Claudio Merulo,Missa Susanne un jour: Gloria,
89,1.5,,"('1', '2', '1')","('1', '2', '1')",,"('1', '4', '1')",Claudio Merulo,Missa Susanne un jour: Gloria,
89,2.0,,"('2', '1', '-2')","('2', '1', '-2')","('1', '1', '2')","('4', '1', '-4')",Claudio Merulo,Missa Susanne un jour: Gloria,
89,3.0,,"('1', '-2', '1')","('1', '-2', '-2')","('1', '2', '-2')","('1', '-4', '5')",Claudio Merulo,Missa Susanne un jour: Gloria,
89,4.0,,"('-2', '1', '1')","('-2', '-2', '2')","('2', '-2', '1')","('-4', '5', '-5')",Claudio Merulo,Missa Susanne un jour: Gloria,
90,1.0,,,,"('-2', '1', '-2')",,Claudio Merulo,Missa Susanne un jour: Gloria,
90,1.5,,,,"('1', '-2', '-2')",,Claudio Merulo,Missa Susanne un jour: Gloria,
90,2.0,,"('1', '1', '4')","('-2', '2', '3')","('-2', '-2', '2')",,Claudio Merulo,Missa Susanne un jour: Gloria,
90,3.0,,"('1', '4', '1')","('2', '3', '1')",,,Claudio Merulo,Missa Susanne un jour: Gloria,
90,3.5,,,,"('-2', '2', '2')",,Claudio Merulo,Missa Susanne un jour: Gloria,
91,1.0,,"('4', '1', '1')","('3', '1', '1')",,,Claudio Merulo,Missa Susanne un jour: Gloria,
91,2.0,"('1', '1', '-2')","('1', '1', '-2')","('1', '1', '-8')",,,Claudio Merulo,Missa Susanne un jour: Gloria,
91,3.0,"('1', '-2', '-2')","('1', '-2', '-2')","('1', '-8', '2')",,,Claudio Merulo,Missa Susanne un jour: Gloria,
91,4.0,"('-2', '-2', '-2')","('-2', '-2', '-2')","('-8', '2', '5')",,,Claudio Merulo,Missa Susanne un jour: Gloria,
92,1.0,"('-2', '-2', '2')","('-2', '-2', '1')",,,,Claudio Merulo,Missa Susanne un jour: Gloria,
92,2.0,"('-2', '2', '1')","('-2', '1', '1')",,,,Claudio Merulo,Missa Susanne un jour: Gloria,
92,3.0,"('2', '1', '1')","('1', '1', '1')",,,,Claudio Merulo,Missa Susanne un jour: Gloria,
92,4.0,"('1', '1', '-2')","('1', '1', '-3')",,"('1', '1', '-2')","('1', '1', '5')",Claudio Merulo,Missa Susanne un jour: Gloria,
93,1.0,"('1', '-2', '-2')","('1', '-3', '3')",,"('1', '-2', '-2')","('1', '5', '2')",Claudio Merulo,Missa Susanne un jour: Gloria,
93,2.0,"('-2', '-2', '-2')",,,"('-2', '-2', '-2')","('5', '2', '-4')",Claudio Merulo,Missa Susanne un jour: Gloria,
93,3.0,,"('-3', '3', '1')",,"('-2', '-2', '1')","('2', '-4', '1')",Claudio Merulo,Missa Susanne un jour: Gloria,
93,4.0,,"('3', '1', '3')",,"('-2', '1', '2')","('-4', '1', '-3')",Claudio Merulo,Missa Susanne un jour: Gloria,
94,1.0,,,,"('1', '2', '-2')","('1', '-3', '5')",Claudio Merulo,Missa Susanne un jour: Gloria,
94,2.0,,"('1', '3', '-2')","('1', '-2', '-2')","('2', '-2', '4')","('-3', '5', '2')",Claudio Merulo,Missa Susanne un jour: Gloria,
94,3.0,,"('3', '-2', '-2')","('-2', '-2', '-2')","('-2', '4', '-2')","('5', '2', '-4')",Claudio Merulo,Missa Susanne un jour: Gloria,
94,4.0,"('1', '-3', '3')",,,,,Claudio Merulo,Missa Susanne un jour: Gloria,
95,1.0,"('-3', '3', '-2')","('-2', '-2', '4')","('-2', '-2', '-2')","('4', '-2', '-2')","('2', '-4', '2')",Claudio Merulo,Missa Susanne un jour: Gloria,
95,2.0,"('3', '-2', '1')","('-2', '4', '-2')","('-2', '-2', '4')","('-2', '-2', '2')","('-4', '2', '-3')",Claudio Merulo,Missa Susanne un jour: Gloria,
95,3.0,"('-2', '1', '-2')","('4', '-2', '-2')","('-2', '4', '-2')",,"('2', '-3', '2')",Claudio Merulo,Missa Susanne un jour: Gloria,
95,3.5,,,,"('-2', '2', '-4')",,Claudio Merulo,Missa Susanne un jour: Gloria,
95,4.0,,"('-2', '-2', '1')","('4', '-2', '-2')","('2', '-4', '5')",,Claudio Merulo,Missa Susanne un jour: Gloria,
96,1.0,,"('-2', '1', '-2')","('-2', '-2', '-2')",,,Claudio Merulo,Missa Susanne un jour: Gloria,
96,1.5,,"('1', '-2', '2')",,,,Claudio Merulo,Missa Susanne un jour: Gloria,
96,2.0,,"('-2', '2', '3')",,,,Claudio Merulo,Missa Susanne un jour: Gloria,
96,2.5,,,"('-2', '-2', '-2')",,,Claudio Merulo,Missa Susanne un jour: Gloria,
96,3.0,,,"('-2', '-2', '3')",,,Claudio Merulo,Missa Susanne un jour: Gloria,
96,4.0,,"('2', '3', '-2')",,,,Claudio Merulo,Missa Susanne un jour: Gloria,
97,1.0,,"('3', '-2', '-2')","('-2', '3', '4')",,,Claudio Merulo,Missa Susanne un jour: Gloria,
97,3.0,"('1', '-3', '1')","('-2', '-2', '-2')","('3', '4', '1')","('-2', '-2', '-2')","('5', '2', '-4')",Claudio Merulo,Missa Susanne un jour: Gloria,
98,1.0,,"('-2', '-2', '3')","('4', '1', '1')","('-2', '-2', '6')","('2', '-4', '1')",Claudio Merulo,Missa Susanne un jour: Gloria,
98,3.0,,"('-2', '3', '1')","('1', '1', '1')","('-2', '6', '1')","('-4', '1', '1')",Claudio Merulo,Missa Susanne un jour: Gloria,
99,1.0,,"('3', '1', '2')","('1', '1', '1')","('6', '1', '1')","('1', '1', '1')",Claudio Merulo,Missa Susanne un jour: Gloria,
99,2.0,,"('1', '2', '-2')","('1', '1', '-2')","('1', '1', '1')","('1', '1', '3')",Claudio Merulo,Missa Susanne un jour: Gloria,
99,3.0,,"('2', '-2', '-2')","('1', '-2', '-2')","('1', '1', '-3')","('1', '3', '2')",Claudio Merulo,Missa Susanne un jour: Gloria,
99,4.0,,"('-2', '-2', '-2')","('-2', '-2', '-2')","('1', '-3', '1')","('3', '2', '-4')",Claudio Merulo,Missa Susanne un jour: Gloria,
100,1.0,,"('-2', '-2', '3')","('-2', '-2', '6')",,,Claudio Merulo,Missa Susanne un jour: Gloria,
100,2.0,,"('-2', '3', '2')","('-2', '6', '2')",,,Claudio Merulo,Missa Susanne un jour: Gloria,
100,3.0,,"('3', '2', '-2')","('6', '2', '-4')",,,Claudio Merulo,Missa Susanne un jour: Gloria,
100,4.0,"('1', '1', '-2')","('2', '-2', '-2')","('2', '-4', '3')",,,Claudio Merulo,Missa Susanne un jour: Gloria,
101,1.0,"('1', '-2', '-2')","('-2', '-2', '-2')","('-4', '3', '2')",,,Claudio Merulo,Missa Susanne un jour: Gloria,
101,2.0,"('-2', '-2', '-2')",,"('3', '2', '-4')",,,Claudio Merulo,Missa Susanne un jour: Gloria,
101,3.0,"('-2', '-2', '-2')","('-2', '-2', '4')","('2', '-4', '2')",,,Claudio Merulo,Missa Susanne un jour: Gloria,
101,4.0,"('-2', '-2', '4')","('-2', '4', '-2')","('-4', '2', '-3')",,,Claudio Merulo,Missa Susanne un jour: Gloria,
102,1.0,"('-2', '4', '1')","('4', '-2', '-2')","('2', '-3', '1')",,,Claudio Merulo,Missa Susanne un jour: Gloria,
102,2.0,"('4', '1', '-3')","('-2', '-2', '1')","('-3', '1', '2')",,,Claudio Merulo,Missa Susanne un jour: Gloria,
102,3.0,"('1', '-3', '1')","('-2', '1', '-2')","('1', '2', '1')",,,Claudio Merulo,Missa Susanne un jour: Gloria,
102,3.5,,"('1', '-2', '2')",,,,Claudio Merulo,Missa Susanne un jour: Gloria,
102,4.0,"('-3', '1', '-2')","('-2', '2', '3')","('2', '1', '-5')",,,Claudio Merulo,Missa Susanne un jour: Gloria,
103,1.0,"('1', '-2', '5')",,"('1', '-5', '8')",,,Claudio Merulo,Missa Susanne un jour: Gloria,
103,2.0,,"('2', '3', '1')",,,,Claudio Merulo,Missa Susanne un jour: Gloria,
103,2.5,"('-2', '5', '3')",,"('-5', '8', '-2')",,,Claudio Merulo,Missa Susanne un jour: Gloria,
103,3.0,"('5', '3', '1')","('3', '1', '1')","('8', '-2', '1')","('1', '1', '-2')",,Claudio Merulo,Missa Susanne un jour: Gloria,
103,4.0,"('3', '1', '-4')","('1', '1', '-2')","('-2', '1', '-2')",,"('3', '1', '-4')",Claudio Merulo,Missa Susanne un jour: Gloria,
104,1.0,,"('1', '-2', '-2')","('1', '-2', '-2')","('1', '-2', '-2')",,Claudio Merulo,Missa Susanne un jour: Gloria,
104,2.0,"('1', '-4', '1')","('-2', '-2', '1')",,"('-2', '-2', '1')",,Claudio Merulo,Missa Susanne un jour: Gloria,
104,3.0,"('-4', '1', '3')","('-2', '1', '-2')",,"('-2', '1', '-2')",,Claudio Merulo,Missa Susanne un jour: Gloria,
104,4.0,"('1', '3', '1')",,"('-2', '-2', '1')",,,Claudio Merulo,Missa Susanne un jour: Gloria,
105,1.0,"('3', '1', '-4')","('1', '-2', '-3')","('-2', '1', '4')",,,Claudio Merulo,Missa Susanne un jour: Gloria,
105,2.0,"('1', '-4', '1')",,,,"('3', '1', '-4')",Claudio Merulo,Missa Susanne un jour: Gloria,
105,3.0,"('-4', '1', '-2')",,,"('1', '-2', '-2')","('1', '-4', '5')",Claudio Merulo,Missa Susanne un jour: Gloria,
105,4.0,"('1', '-2', '2')","('-2', '-3', '2')",,,"('-4', '5', '2')",Claudio Merulo,Missa Susanne un jour: Gloria,
106,1.0,"('-2', '2', '2')","('-3', '2', '2')","('1', '4', '-3')",,"('5', '2', '-5')",Claudio Merulo,Missa Susanne un jour: Gloria,
106,2.0,,,,"('-2', '-2', '4')",,Claudio Merulo,Missa Susanne un jour: Gloria,
106,2.5,"('2', '2', '-2')",,,,,Claudio Merulo,Missa Susanne un jour: Gloria,
106,2.75,"('2', '-2', '-3')",,,,,Claudio Merulo,Missa Susanne un jour: Gloria,
106,3.0,"('-2', '-3', '1')",,"('4', '-3', '-2')","('-2', '4', '-2')","('2', '-5', '1')",Claudio Merulo,Missa Susanne un jour: Gloria,
106,4.0,"('-3', '1', '5')","('2', '2', '2')","('-3', '-2', '-5')","('4', '-2', '-2')","('-5', '1', '2')",Claudio Merulo,Missa Susanne un jour: Gloria,
107,1.0,"('1', '5', '-3')","('2', '2', '-2')",,"('-2', '-2', '-2')","('1', '2', '4')",Claudio Merulo,Missa Susanne un jour: Gloria,
107,1.5,,"('2', '-2', '-2')",,,,Claudio Merulo,Missa Susanne un jour: Gloria,
107,2.0,,"('-2', '-2', '2')","('-2', '-5', '5')",,,Claudio Merulo,Missa Susanne un jour: Gloria,
107,2.5,,,,"('-2', '-2', '1')",,Claudio Merulo,Missa Susanne un jour: Gloria,
107,3.0,,,"('-5', '5', '1')","('-2', '1', '5')",,Claudio Merulo,Missa Susanne un jour: Gloria,
107,3.5,,"('-2', '2', '2')",,,,Claudio Merulo,Missa Susanne un jour: Gloria,
107,3.75,,"('2', '2', '1')",,,,Claudio Merulo,Missa Susanne un jour: Gloria,
107,4.0,,"('2', '1', '3')",,,,Claudio Merulo,Missa Susanne un jour: Gloria,
108,1.0,,"('1', '3', '1')",,"('1', '5', '-3')",,Claudio Merulo,Missa Susanne un jour: Gloria,
108,2.0,,"('3', '1', '-4')",,"('5', '-3', '1')",,Claudio Merulo,Missa Susanne un jour: Gloria,
108,3.0,,"('1', '-4', '2')","('5', '1', '1')","('-3', '1', '2')",,Claudio Merulo,Missa Susanne un jour: Gloria,
108,4.0,"('3', '1', '-4')","('-4', '2', '2')","('1', '1', '-2')","('1', '2', '2')","('3', '1', '-4')",Claudio Merulo,Missa Susanne un jour: Gloria,
109,1.0,,"('2', '2', '-2')","('1', '-2', '-2')","('2', '2', '2')",,Claudio Merulo,Missa Susanne un jour: Gloria,
109,1.5,,,,"('2', '2', '2')",,Claudio Merulo,Missa Susanne un jour: Gloria,
109,2.0,"('1', '-4', '1')",,"('-2', '-2', '1')","('2', '2', '1')",,Claudio Merulo,Missa Susanne un jour: Gloria,
