Measure	Beat	Offset	figures
57	3.0	468.0	352
57	3.5	469.0	358
57	4.0	470.0	835
58	1.0	472.0	584
58	2.0	474.0	583
58	3.0	476.0	035
58	4.0	478.0	358
59	1.5	481.0	247
59	2.0	482.0	836
59	2.5	483.0	735
59	3.0	484.0	583
59	3.5	485.0	584
59	4.0	486.0	835
60	1.0	488.0	684
60	2.0	490.0	583
60	3.0	492.0	838
60	4.0	494.0	833
60	4.5	495.0	823
61	1.0	496.0	038
61	1.5	497.0	047
61	2.0	498.0	583
61	2.5	499.0	472
61	3.0	500.0	388
61	3.5	501.0	287
61	4.0	502.0	386
61	4.5	503.0	385
62	1.0	504.0	852
62	1.5	505.0	854
62	2.0	506.0	835
62	2.5	507.0	735
62	3.0	508.0	584
62	4.0	510.0	553
63	1.0	512.0	138
63	2.0	514.0	538
63	3.0	516.0	053
63	4.0	518.0	853
63	4.5	519.0	252
64	1.0	520.0	358
64	1.5	521.0	257
64	2.0	522.0	836
64	2.5	523.0	735
64	3.0	524.0	583
64	3.5	525.0	482
64	4.0	526.0	583
65	1.0	528.0	458
65	2.0	530.0	358
65	3.0	532.0	835
65	3.5	533.0	834
65	4.0	534.0	833
65	4.5	535.0	732
66	1.0	536.0	053
66	1.5	537.0	043
1	1.0	0.0	158
1	3.0	4.0	583
1	4.0	6.0	835
2	3.0	12.0	358
2	4.0	14.0	583
3	1.0	16.0	358
3	3.0	20.0	583
3	4.0	22.0	835
4	1.0	24.0	583
4	2.0	26.0	835
4	3.0	28.0	583
4	4.0	30.0	358
5	1.0	32.0	835
5	2.0	34.0	355
5	3.0	36.0	360
5	4.0	38.0	363
6	1.0	40.0	584
6	2.0	42.0	583
6	3.0	44.0	353
6	4.0	46.0	358
7	1.0	48.0	583
7	2.0	50.0	358
7	3.0	52.0	583
7	4.0	54.0	363
8	1.0	56.0	584
8	1.5	57.0	583
8	1.75	57.5	582
8	2.0	58.0	583
8	3.0	60.0	835
9	3.0	68.0	358
9	4.0	70.0	835
10	1.0	72.0	583
10	2.0	74.0	835
10	3.0	76.0	583
10	4.0	78.0	835
11	1.0	80.0	358
11	2.0	82.0	835
11	3.0	84.0	358
12	1.0	88.0	583
13	1.0	96.0	358
13	1.5	97.0	362
13	2.0	98.0	383
13	2.5	99.0	324
13	3.0	100.0	533
13	3.5	101.0	523
13	4.0	102.0	368
14	1.0	104.0	573
14	2.0	106.0	363
14	3.0	108.0	583
14	4.0	110.0	835
15	3.0	116.0	583
16	1.0	120.0	835
16	2.0	122.0	538
16	3.0	124.0	853
16	4.0	126.0	368
17	1.0	128.0	837
17	1.5	129.0	836
17	2.5	131.0	725
17	3.0	132.0	584
17	4.0	134.0	583
18	1.0	136.0	838
18	2.0	138.0	138
18	3.0	140.0	050
19	1.0	144.0	060
19	2.0	146.0	050
19	3.0	148.0	080
19	4.0	150.0	030
20	1.0	152.0	050
20	2.0	154.0	060
20	3.0	156.0	030
20	4.0	158.0	050
20	4.5	159.0	060
21	1.0	160.0	070
21	1.75	161.5	060
21	3.0	164.0	080
21	4.0	166.0	583
22	1.0	168.0	358
23	1.0	176.0	835
23	3.0	180.0	358
24	1.0	184.0	583
24	3.0	188.0	835
25	2.0	194.0	583
26	1.0	200.0	350
26	2.0	202.0	358
27	1.0	208.0	835
27	3.0	212.0	358
27	4.0	214.0	583
28	2.0	218.0	835
28	3.0	220.0	583
28	4.0	222.0	835
29	1.0	224.0	358
29	3.0	228.0	583
30	3.0	236.0	835
31	3.0	244.0	583
32	3.0	252.0	538
32	4.0	254.0	835
33	4.0	262.0	358
34	1.0	264.0	583
34	3.0	268.0	835
34	4.5	271.0	825
34	4.75	271.5	885
35	1.0	272.0	358
35	2.0	274.0	835
35	3.0	276.0	458
35	3.5	277.0	358
35	3.75	277.5	258
35	4.0	278.0	358
36	1.0	280.0	583
36	2.0	282.0	358
36	4.0	286.0	835
37	1.0	288.0	538
37	2.5	291.0	537
37	3.0	292.0	835
37	3.5	293.0	834
37	4.0	294.0	835
38	1.0	296.0	538
39	1.0	304.0	853
40	1.0	320.0	035
40	3.0	324.0	835
41	1.0	328.0	583
41	3.0	332.0	358
41	4.0	334.0	583
42	1.0	336.0	358
42	2.0	338.0	835
42	3.0	340.0	458
42	4.0	342.0	358
43	1.0	344.0	835
44	1.0	352.0	583
44	4.0	358.0	358
45	1.0	360.0	583
45	2.0	362.0	358
45	3.0	364.0	836
45	3.5	365.0	835
45	4.5	367.0	735
46	1.0	368.0	584
46	1.5	369.0	484
46	2.0	370.0	583
46	3.0	372.0	858
47	1.0	376.0	358
47	2.0	380.0	353
47	3.0	384.0	583
48	1.0	388.0	358
48	2.0	392.0	583
48	3.0	396.0	358
49	1.0	400.0	363
49	2.0	404.0	684
49	3.0	408.0	583
50	1.0	412.0	853
50	3.0	420.0	538
51	1.0	424.0	835
51	2.0	428.0	358
51	3.0	432.0	583
52	1.0	436.0	358
52	2.0	440.0	835
52	3.0	444.0	358
53	1.0	448.0	835
53	2.0	452.0	458
53	3.0	456.0	358
54	1.0	460.0	583
54	3.0	464.0	030
54	4.0	466.0	835
55	1.0	468.0	353
55	2.0	470.0	153
55	3.0	472.0	583
56	1.0	476.0	353
56	2.0	478.0	533
56	3.0	480.0	683
56	3.5	481.0	583
56	4.5	483.0	573
57	1.0	484.0	458
57	1.5	485.0	358
57	1.75	485.5	258
57	2.0	486.0	358
57	3.0	488.0	835
58	3.0	496.0	358
59	2.0	502.0	583
59	3.0	504.0	835
59	4.0	506.0	358
60	1.0	508.0	583
60	3.0	512.0	835
61	1.0	516.0	358
62	1.0	528.0	853
62	2.0	532.0	358
62	3.0	536.0	583
63	1.0	540.0	835
63	3.0	548.0	583
64	1.0	552.0	033
64	2.0	556.0	035
64	3.0	560.0	053
65	1.0	564.0	035
65	2.5	570.0	053
66	1.0	576.0	538
66	3.0	584.0	385
67	2.0	592.0	358
67	3.0	596.0	583
68	1.0	600.0	835
68	3.0	608.0	583
70	1.0	620.0	353
70	3.0	624.0	358
71	1.0	628.0	583
72	1.0	636.0	835
73	1.0	644.0	358
73	3.0	648.0	368
73	4.0	650.0	358
73	4.5	651.0	362
74	1.0	652.0	360
74	3.0	656.0	580
74	4.0	658.0	535
75	1.0	660.0	036
75	2.0	662.0	035
75	2.5	663.0	036
76	1.0	668.0	058
76	1.5	669.0	048
76	2.0	670.0	035
76	2.5	671.0	025
76	3.0	672.0	853
76	3.5	673.0	854
76	4.0	674.0	855
76	4.5	675.0	853
77	1.0	676.0	538
77	1.5	677.0	532
77	2.0	678.0	533
77	2.5	679.0	534
77	3.0	680.0	835
77	4.0	682.0	247
77	4.5	683.0	358
78	1.0	684.0	584
78	2.0	686.0	583
78	3.0	688.0	838
78	4.0	690.0	538
79	1.0	692.0	530
79	2.0	694.0	538
79	3.0	696.0	053
79	4.0	698.0	853
79	4.5	699.0	253
80	1.0	700.0	385
80	3.0	704.0	853
80	4.0	706.0	835
81	1.0	708.0	584
81	1.5	709.0	583
81	1.75	709.5	582
81	2.0	710.0	583
81	3.0	712.0	853
81	4.0	714.0	383
81	4.5	715.0	382
82	1.0	716.0	036
82	1.5	717.0	016
82	2.0	718.0	358
1	1.0	0.0	158
1	3.0	4.0	583
1	4.0	6.0	358
2	2.0	10.0	583
2	3.0	12.0	358
3	1.0	16.0	583
3	3.0	20.0	050
3	4.0	22.0	058
4	1.0	24.0	853
4	2.5	27.0	854
4	3.0	28.0	503
4	4.0	30.0	538
4	4.5	31.0	427
5	1.0	32.0	335
5	2.0	34.0	353
5	2.5	35.0	363
5	3.0	36.0	584
5	4.0	38.0	583
6	1.0	40.0	838
6	3.0	44.0	583
7	3.0	52.0	358
7	3.5	53.0	362
7	4.0	54.0	383
7	4.5	55.0	324
8	1.0	56.0	533
8	2.0	58.0	583
8	3.0	60.0	373
8	4.0	62.0	363
9	1.0	64.0	583
9	2.0	66.0	835
9	4.0	70.0	583
10	1.0	72.0	836
10	2.0	74.0	358
10	3.0	76.0	355
10	3.5	77.0	354
10	4.0	78.0	363
11	1.0	80.0	584
11	2.0	82.0	583
11	2.5	83.0	573
11	3.0	84.0	038
11	4.0	86.0	583
12	2.0	90.0	358
12	3.0	92.0	835
12	4.0	94.0	358
13	1.0	96.0	835
13	3.0	100.0	358
14	3.0	108.0	583
15	3.0	116.0	358
16	3.0	124.0	835
17	1.0	128.0	583
17	2.0	130.0	358
18	1.0	136.0	583
18	2.0	138.0	358
18	3.0	140.0	835
18	4.0	142.0	358
19	2.0	146.0	583
19	3.0	148.0	835
19	4.0	150.0	583
20	1.0	152.0	838
20	2.0	154.0	353
20	3.0	156.0	358
20	4.0	158.0	583
21	1.0	160.0	358
21	3.0	164.0	583
21	4.0	166.0	835
22	1.0	168.0	458
22	2.0	170.0	358
22	3.0	172.0	583
22	4.0	174.0	358
23	2.0	178.0	835
23	3.0	180.0	583
23	4.0	182.0	358
24	1.0	184.0	584
24	2.0	186.0	583
24	3.0	188.0	835
24	4.0	190.0	358
25	1.0	192.0	584
25	2.0	194.0	583
25	3.0	196.0	038
25	4.0	198.0	835
26	1.0	200.0	583
26	2.0	202.0	835
26	3.0	204.0	583
27	1.0	208.0	853
27	2.0	210.0	358
27	3.0	212.0	835
27	4.0	214.0	583
28	1.0	216.0	835
28	2.0	218.0	363
28	3.0	220.0	583
28	4.0	222.0	385
29	1.0	224.0	853
29	4.0	230.0	583
30	1.0	232.0	853
30	2.0	234.0	358
30	3.0	236.0	584
30	3.5	237.0	583
30	4.0	238.0	353
31	1.0	240.0	584
31	2.0	242.0	835
31	3.0	244.0	584
31	4.0	246.0	583
32	1.0	248.0	838
32	2.0	250.0	358
33	1.0	256.0	360
33	2.0	258.0	350
33	3.0	260.0	530
33	4.0	262.0	580
34	1.0	264.0	350
34	2.0	266.0	830
34	3.0	268.0	530
34	4.0	270.0	630
35	1.0	272.0	530
35	2.0	274.0	830
35	3.0	276.0	680
35	3.5	277.0	580
35	4.0	278.0	530
36	1.0	280.0	750
36	2.0	282.0	640
36	2.5	283.0	630
36	3.0	284.0	830
36	4.0	286.0	358
37	2.0	290.0	583
38	1.0	296.0	835
38	3.0	300.0	368
38	3.5	301.0	358
39	1.0	304.0	373
39	2.0	306.0	363
39	3.0	308.0	583
40	1.0	312.0	350
40	2.0	314.0	358
40	3.0	316.0	835
40	4.0	318.0	358
41	1.0	320.0	683
41	1.5	321.0	583
41	3.0	324.0	458
41	4.0	326.0	358
42	1.0	328.0	835
42	3.0	332.0	583
42	4.0	334.0	835
43	1.0	336.0	458
43	2.0	338.0	358
43	3.0	340.0	583
43	4.0	342.0	358
44	1.0	344.0	835
44	3.0	348.0	358
45	1.0	352.0	360
45	4.0	358.0	860
46	1.0	360.0	380
46	2.0	362.0	358
46	3.0	364.0	036
46	4.0	366.0	363
47	1.0	368.0	683
47	2.0	370.0	853
47	3.0	372.0	583
47	4.0	374.0	835
48	1.0	376.0	538
48	2.0	378.0	315
48	3.0	380.0	336
48	4.0	382.0	315
49	1.0	384.0	385
49	1.5	385.0	225
49	2.0	386.0	835
49	3.0	388.0	458
49	4.0	390.0	358
50	1.0	392.0	835
51	1.0	408.0	583
53	1.0	424.0	835
53	3.0	428.0	583
54	3.0	436.0	835
55	1.0	440.0	358
56	1.0	448.0	583
56	4.0	454.0	358
57	1.0	456.0	583
57	2.0	458.0	358
57	3.0	460.0	583
58	1.0	464.0	835
59	1.0	472.0	583
60	1.0	480.0	835
60	3.0	484.0	538
61	2.0	490.0	385
61	3.0	492.0	583
62	1.0	496.0	385
62	3.0	500.0	358
63	1.0	504.0	835
63	3.0	508.0	538
64	1.0	512.0	853
65	1.0	520.0	548
65	2.0	522.0	538
65	2.5	523.0	528
65	3.0	524.0	538
66	1.0	528.0	183
67	1.0	544.0	000
67	2.0	546.0	005
67	3.0	548.0	006
68	1.0	552.0	005
68	2.0	554.0	003
68	3.0	556.0	008
68	4.0	558.0	005
69	1.0	560.0	003
69	3.0	564.0	008
69	4.0	566.0	005
70	1.0	568.0	003
70	1.5	569.0	004
70	2.0	570.0	003
70	2.5	571.0	005
70	3.0	572.0	000
70	4.0	574.0	003
71	1.0	576.0	005
71	2.0	578.0	006
71	3.0	580.0	000
71	4.0	582.0	003
72	1.0	584.0	008
72	2.0	586.0	006
72	3.0	588.0	005
72	4.0	590.0	004
72	4.5	591.0	003
73	2.0	594.0	006
73	3.0	596.0	007
73	4.0	598.0	006
74	1.0	600.0	008
74	2.0	602.0	003
74	3.0	604.0	005
74	4.0	606.0	006
75	2.0	610.0	005
75	2.5	611.0	004
75	3.0	612.0	003
76	3.0	620.0	001
76	4.0	622.0	005
77	1.0	624.0	000
77	2.0	626.0	008
77	3.0	628.0	006
77	4.0	630.0	003
78	3.0	636.0	005
78	4.0	638.0	006
78	4.5	639.0	005
79	1.0	640.0	003
79	2.0	642.0	006
79	3.0	644.0	003
79	4.0	646.0	005
80	1.0	648.0	000
80	2.0	650.0	003
80	2.5	651.0	002
80	3.0	652.0	003
80	4.0	654.0	005
80	4.5	655.0	006
81	1.0	656.0	003
81	1.5	657.0	002
81	2.0	658.0	003
81	2.5	659.0	002
81	3.0	660.0	005
81	4.0	662.0	006
82	1.0	664.0	007
82	1.5	665.0	006
82	1.75	665.5	005
82	2.0	666.0	006
82	3.0	668.0	000
82	4.0	670.0	003
83	1.0	672.0	006
83	2.0	674.0	005
83	3.0	676.0	006
83	4.0	678.0	005
84	1.0	680.0	006
84	2.0	682.0	005
84	3.0	684.0	006
85	1.0	688.0	005
85	1.5	689.0	004
85	2.0	690.0	003
85	3.5	693.0	005
85	4.0	694.0	003
86	2.0	698.0	008
86	3.0	700.0	000
86	4.0	702.0	003
87	1.0	704.0	005
87	2.0	706.0	006
87	2.5	707.0	005
87	3.0	708.0	003
87	4.5	711.0	001
88	1.0	712.0	003
88	1.5	713.0	004
88	2.0	714.0	003
88	3.5	717.0	001
88	4.0	718.0	003
88	4.5	719.0	001
89	1.0	720.0	002
89	2.0	722.0	003
89	2.5	723.0	004
89	3.0	724.0	003
90	1.0	728.0	001
92	1.0	744.0	000
93	3.0	756.0	600
93	4.0	758.0	500
94	1.0	760.0	300
94	3.0	764.0	000
94	4.0	766.0	800
95	1.0	768.0	300
95	2.0	770.0	800
95	3.0	772.0	500
95	3.5	773.0	400
95	4.0	774.0	300
95	4.5	775.0	200
96	1.0	776.0	000
96	2.0	778.0	300
96	3.0	780.0	500
96	3.5	781.0	400
96	4.0	782.0	300
96	4.5	783.0	400
97	1.0	784.0	500
97	1.5	785.0	400
97	2.0	786.0	300
97	2.5	787.0	200
97	3.0	788.0	800
97	4.0	790.0	300
98	1.0	792.0	000
98	2.0	794.0	100
98	3.0	796.0	200
98	4.0	798.0	300
99	1.0	800.0	500
99	2.0	802.0	800
99	3.0	804.0	600
99	4.0	806.0	500
100	1.0	808.0	300
100	1.5	809.0	400
100	2.0	810.0	500
100	2.5	811.0	600
100	3.0	812.0	800
100	3.5	813.0	300
101	1.0	816.0	200
101	1.5	817.0	300
101	1.75	817.5	400
101	2.0	818.0	300
101	3.0	820.0	100
101	4.0	822.0	300
102	1.0	824.0	600
102	2.0	826.0	800
102	2.5	827.0	700
102	3.0	828.0	300
102	3.5	829.0	200
102	4.0	830.0	100
102	4.5	831.0	300
103	1.5	833.0	400
103	2.0	834.0	500
103	2.5	835.0	600
103	4.0	838.0	500
104	1.0	840.0	600
104	2.0	842.0	300
104	3.0	844.0	500
104	4.0	846.0	300
105	1.0	848.0	200
105	1.5	849.0	300
105	3.0	852.0	200
105	4.0	854.0	300
106	1.0	856.0	100
108	1.0	872.0	583
109	1.0	880.0	358
109	3.0	884.0	583
109	4.5	887.0	483
110	1.0	888.0	358
110	2.0	890.0	363
110	3.0	892.0	573
110	3.5	893.0	563
110	4.0	894.0	884
110	4.5	895.0	883
111	1.0	896.0	373
111	2.0	898.0	363
111	3.0	900.0	583
111	4.0	902.0	553
112	1.0	904.0	385
112	2.0	906.0	363
112	3.0	908.0	684
112	4.0	910.0	583
113	1.0	912.0	838
113	2.0	914.0	583
114	1.0	920.0	835
114	3.0	924.0	583
115	2.0	930.0	835
115	3.0	932.0	583
116	1.0	936.0	835
116	2.5	939.0	735
116	3.0	940.0	583
116	3.5	941.0	483
116	4.0	942.0	583
117	1.0	944.0	458
117	2.0	946.0	358
117	3.0	948.0	835
118	1.0	952.0	358
118	3.0	960.0	538
119	1.0	964.0	583
119	2.0	968.0	825
119	3.0	972.0	348
120	1.0	976.0	363
120	2.0	980.0	683
120	3.0	984.0	583
121	1.0	988.0	835
121	3.0	996.0	358
122	1.0	1000.0	583
122	3.0	1008.0	358
123	1.0	1012.0	363
123	2.0	1016.0	584
123	3.0	1020.0	583
124	1.0	1024.0	835
124	2.0	1028.0	358
124	3.0	1032.0	835
125	1.0	1036.0	358
125	2.0	1040.0	583
125	3.0	1044.0	358
126	1.0	1048.0	835
127	1.0	1056.0	583
127	4.0	1062.0	835
128	3.0	1068.0	358
128	4.0	1070.0	355
128	4.5	1071.0	255
129	1.0	1072.0	385
129	1.5	1073.0	484
129	2.0	1074.0	583
129	2.5	1075.0	582
129	3.0	1076.0	583
130	1.0	1080.0	368
130	2.0	1082.0	358
130	3.0	1084.0	373
130	3.5	1085.0	363
130	3.75	1085.5	353
130	4.0	1086.0	363
131	1.0	1088.0	583
131	3.0	1092.0	358
132	3.0	1100.0	583
132	4.0	1102.0	358
133	1.0	1104.0	583
133	3.0	1108.0	358
133	4.0	1110.0	835
134	1.0	1112.0	583
135	1.0	1120.0	835
135	2.0	1122.0	583
135	3.0	1124.0	835
135	4.0	1126.0	583
136	1.0	1128.0	358
136	3.0	1132.0	583
137	3.0	1140.0	835
137	4.0	1142.0	583
138	1.0	1144.0	358
138	2.0	1146.0	136
138	3.0	1148.0	358
139	1.0	1152.0	583
139	2.0	1154.0	853
139	3.0	1156.0	538
140	3.0	1164.0	853
141	1.0	1168.0	385
141	3.0	1172.0	583
141	4.0	1174.0	835
142	1.0	1176.0	458
142	1.5	1177.0	358
142	1.75	1177.5	258
142	2.0	1178.0	358
