Measure	Beat	Offset	figures
31	4.5	251.0	735
32	1.0	252.0	584
32	2.0	254.0	583
32	3.0	256.0	158
33	1.0	260.0	030
33	2.0	262.0	033
33	3.0	264.0	538
33	3.5	265.0	532
33	4.0	266.0	533
33	4.5	267.0	534
34	1.0	268.0	835
34	2.0	270.0	247
34	2.5	271.0	358
34	3.0	272.0	584
34	4.0	274.0	583
35	1.0	276.0	838
35	2.0	278.0	538
35	3.0	280.0	530
35	4.0	282.0	538
36	1.0	284.0	053
36	2.0	286.0	853
36	2.5	287.0	844
36	3.0	288.0	835
36	3.5	289.0	825
36	4.0	290.0	385
36	4.5	291.0	375
37	1.0	292.0	853
37	1.5	293.0	852
37	2.0	294.0	835
37	2.5	295.0	735
37	3.0	296.0	584
37	4.0	298.0	583
38	1.0	300.0	838
38	2.0	302.0	833
38	2.5	303.0	823
38	3.0	304.0	038
38	3.5	305.0	047
38	4.0	306.0	583
38	4.5	307.0	472
39	1.0	308.0	388
39	1.5	309.0	287
39	2.0	310.0	386
39	2.5	311.0	385
39	3.0	312.0	853
39	3.5	313.0	852
39	4.0	314.0	835
39	4.5	315.0	735
