,piece_title,pattern_matched,predicted_type,voice_list,measure_beat_list,time_intervals,entry_intervals,start_offset
33,Quo abiit dilectus tuus,"(2, 2, -3, -2)",Fuga,"['Bassus', 'Tenor']","['57/1.0', '58/3.0']",[12.],['d5'],448.0
34,Quo abiit dilectus tuus,"(2, 2, -3, 3)",Fuga,"['Contratenor', 'Superior', 'Tenor', 'Bassus', 'Contratenor', 'Superior', 'Tenor']","['57/1.0', '58/3.0', '61/1.0', '62/1.0', '63/3.0', '64/3.0', '66/1.0']",[12. 20.  8. 12.  8. 12.],"['P5', 'P-8', 'P-5', 'P5', 'P8', 'P-8']",448.0
35,Quo abiit dilectus tuus,"(2, -3, 3, -2)",Fuga,"['Contratenor', 'Superior', 'Tenor', 'Bassus', 'Contratenor', 'Superior', 'Tenor']","['57/2.0', '58/4.0', '61/2.0', '62/2.0', '63/4.0', '64/4.0', '66/2.0']",[12. 20.  8. 12.  8. 12.],"['P5', 'P-8', 'P-5', 'P5', 'P8', 'P-8']",450.0
36,Quo abiit dilectus tuus,"(-3, 3, -2, -2)",Fuga,"['Contratenor', 'Superior', 'Tenor', 'Bassus', 'Contratenor', 'Superior', 'Tenor']","['57/3.0', '59/1.0', '61/3.0', '62/3.0', '64/1.0', '65/1.0', '66/3.0']",[12. 20.  8. 12.  8. 12.],"['P5', 'P-8', 'P-5', 'P5', 'P8', 'P-8']",452.0
37,Quo abiit dilectus tuus,"(3, -2, -2, -2)",Fuga,"['Contratenor', 'Tenor', 'Bassus', 'Superior']","['57/4.0', '62/1.0', '62/4.0', '65/2.0']",[34.  6. 20.],"['P-4', 'P-5', 'P12']",454.0
38,Quo abiit dilectus tuus,"(-2, -2, -2, -3)",Fuga,"['Bassus', 'Superior', 'Bassus']","['63/1.0', '65/3.0', '68/4.0']",[20. 26.],"['P12', 'P-12']",496.0
39,Quo abiit dilectus tuus,"(2, 2, -2, -2)",Fuga,"['Contratenor', 'Superior']","['66/2.0', '69/1.0']",[22.],['P-4'],522.0
40,Quo abiit dilectus tuus,"(-2, -2, 2, -2)",Fuga,"['Bassus', 'Contratenor', 'Bassus']","['68/1.0', '70/3.0', '74/3.0']",[20. 32.],"['P5', 'P-5']",536.0
41,Quo abiit dilectus tuus,"(-2, -2, 2, 2)",Fuga,"['Superior', 'Superior', 'Contratenor', 'Tenor', 'Superior', 'Tenor', 'Superior', 'Contratenor', 'Bassus', 'Tenor', 'Superior']","['68/3.0', '71/1.0', '71/2.0', '72/3.0', '72/4.0', '75/1.0', '77/1.0', '78/1.0', '80/1.0', '80/3.0', '81/3.0']",[20.  2. 10.  2. 18. 16.  8. 16.  4.  8.],"['P5', 'P-5', 'P-4', 'P8', 'P-5', 'P8', 'P-8', 'm-7', 'P4', 'P8']",540.0
42,Quo abiit dilectus tuus,"(2, 2, 2, -5)",Fuga,"['Superior', 'Tenor']","['71/3.0', '73/1.0']",[12.],['P-8'],564.0
43,Quo abiit dilectus tuus,"(2, 2, 2, -3)",Fuga,"['Tenor', 'Contratenor']","['77/2.0', '78/3.0']",[10.],['P4'],610.0
44,Quo abiit dilectus tuus,"(2, 2, -3, 2)",Fuga,"['Tenor', 'Bassus']","['77/3.0', '81/4.0']",[34.],['P-4'],612.0
45,Quo abiit dilectus tuus,"(-2, 1, -2, 2)",Fuga,"['Superior', 'Superior']","['79/2.0', '82/4.0']",[28.],['P-4'],626.0
46,Quo abiit dilectus tuus,"(1, -3, 1, 2)",ID,"['Superior', 'Contratenor', 'Tenor', 'Bassus']","['85/1.0', '87/1.0', '90/1.0', '92/1.0']",[16. 24. 16.],"['P-5', 'P-4', 'P-5']",680.0
47,Quo abiit dilectus tuus,"(-3, 1, 2, 2)",Fuga,"['Superior', 'Contratenor', 'Contratenor', 'Tenor', 'Bassus']","['85/4.0', '87/4.0', '90/2.0', '90/4.0', '92/4.0']",[16. 20.  4. 16.],"['P-5', 'M2', 'P-5', 'P-5']",686.0
48,Quo abiit dilectus tuus,"(1, 2, 2, 2)",Fuga,"['Superior', 'Contratenor', 'Contratenor', 'Tenor', 'Bassus']","['86/1.0', '88/1.0', '90/4.0', '91/1.0', '93/1.0']",[16. 22.  2. 16.],"['d-5', 'm2', 'P-5', 'd-5']",688.0
49,Quo abiit dilectus tuus,"(2, 2, 2, -2)",Fuga,"['Superior', 'Contratenor', 'Superior', 'Tenor', 'Bassus']","['86/2.0', '88/2.0', '89/2.0', '91/2.0', '93/2.0']",[16.  8. 16. 16.],"['d-5', 'm6', 'M-9', 'd-5']",690.0
50,Quo abiit dilectus tuus,"(2, -3, 3, -2)",Fuga,"['Contratenor', 'Tenor', 'Contratenor']","['91/3.0', '95/3.0', '100/2.0']",[32. 38.],"['P-4', 'P4']",732.0
51,Quo abiit dilectus tuus,"(-3, 3, -2, -2)",Fuga,"['Contratenor', 'Tenor']","['91/4.0', '95/4.0']",[32.],['P-4'],734.0
52,Quo abiit dilectus tuus,"(3, -2, -2, -3)",Fuga,"['Contratenor', 'Tenor']","['92/1.5', '96/1.0']",[31.],['P-4'],737.0
53,Quo abiit dilectus tuus,"(-2, -2, -3, 2)",ID,"['Tenor', 'Bassus', 'Contratenor', 'Superior']","['93/2.0', '94/4.0', '95/3.0', '97/1.0']",[12.  6. 12.],"['P-5', 'P8', 'P5']",746.0
54,Quo abiit dilectus tuus,"(-2, -3, 2, 2)",Fuga,"['Tenor', 'Superior', 'Tenor']","['93/3.0', '97/3.0', '99/4.0']",[32. 18.],"['P8', 'm-7']",748.0
55,Quo abiit dilectus tuus,"(-3, 2, 2, 2)",Fuga,"['Tenor', 'Bassus', 'Superior', 'Tenor', 'Contratenor']","['93/4.0', '96/4.0', '97/4.0', '100/2.0', '103/4.0']",[24.  8. 20. 28.],"['A-4', 'A11', 'M-7', 'M3']",750.0
56,Quo abiit dilectus tuus,"(2, 2, 2, -3)",Fuga,"['Bassus', 'Superior', 'Tenor']","['97/1.0', '98/3.0', '100/3.0']",[12. 16.],"['P12', 'P-8']",776.0
57,Quo abiit dilectus tuus,"(2, 2, -3, -2)",Fuga,"['Bassus', 'Superior']","['97/2.5', '98/4.0']",[11.],['P12'],779.0
58,Quo abiit dilectus tuus,"(2, 2, -2, -2)",Fuga,"['Contratenor', 'Superior', 'Contratenor']","['97/4.0', '99/4.0', '104/2.0']",[16. 36.],"['P5', 'P-5']",782.0
59,Quo abiit dilectus tuus,"(-2, 2, 2, -2)",Fuga,"['Contratenor', 'Superior']","['99/1.0', '99/3.0']",[4.],['P5'],792.0
60,Quo abiit dilectus tuus,"(5, 1, -3, 2)",Fuga,"['Bassus', 'Contratenor', 'Superior']","['99/4.0', '103/2.0', '104/4.0']",[28. 12.],"['P5', 'P4']",798.0
61,Quo abiit dilectus tuus,"(1, -3, 2, 2)",Fuga,"['Bassus', 'Tenor', 'Contratenor', 'Superior', 'Tenor']","['100/1.0', '102/1.0', '103/3.0', '105/1.0', '106/3.0']",[16. 12. 12. 12.],"['P1', 'P5', 'P4', 'P-5']",800.0
62,Quo abiit dilectus tuus,"(2, -2, -2, -2)",Fuga,"['Superior', 'Bassus', 'Contratenor']","['100/1.5', '103/4.0', '104/3.0']",[29.  6.],"['P-12', 'P8']",801.0
63,Quo abiit dilectus tuus,"(-2, -2, -2, 2)",Fuga,"['Superior', 'Bassus', 'Contratenor', 'Tenor', 'Superior', 'Contratenor']","['100/2.0', '104/4.0', '105/1.5', '118/2.0', '121/4.0', '124/4.0']",[ 36.   3. 105.  28.  24.],"['m-14', 'M9', 'M-3', 'P4', 'm-3']",802.0
64,Quo abiit dilectus tuus,"(4, 1, -3, 2)",Fuga,"['Tenor', 'Tenor', 'Bassus']","['101/4.0', '106/2.0', '108/2.0']",[36. 16.],"['P4', 'P-8']",814.0
65,Quo abiit dilectus tuus,"(-3, 2, 2, 3)",Fuga,"['Tenor', 'Superior']","['102/2.0', '105/2.0']",[24.],['P8'],818.0
66,Quo abiit dilectus tuus,"(-2, 1, -2, -2)",Fuga,"['Tenor', 'Contratenor']","['103/2.0', '106/4.0']",[28.],['P4'],826.0
67,Quo abiit dilectus tuus,"(1, -2, -2, 2)",Fuga,"['Tenor', 'Contratenor']","['103/3.5', '107/1.5']",[28.],['P4'],829.0
68,Quo abiit dilectus tuus,"(-2, -2, -2, -2)",Fuga,"['Bassus', 'Contratenor', 'Contratenor', 'Bassus', 'Superior', 'Superior']","['104/1.0', '104/4.0', '112/3.0', '117/2.0', '121/2.0', '121/3.5']",[ 6. 62. 38. 32.  3.],"['P8', 'm-2', 'P-8', 'P11', 'M-2']",832.0
69,Quo abiit dilectus tuus,"(2, 2, -3, -2)",Fuga,"['Tenor', 'Tenor']","['107/1.0', '110/2.0']",[26.],['M-2'],856.0
70,Quo abiit dilectus tuus,"(1, 1, 3, -2)",Fuga,"['Contratenor', 'Superior', 'Bassus', 'Tenor', 'Contratenor', 'Superior']","['110/4.0', '111/4.0', '114/2.0', '116/2.0', '118/2.0', '119/2.0']",[ 8. 20. 16. 16.  8.],"['P5', 'P-11', 'P4', 'P1', 'P5']",886.0
